t,OD600,ste
0,0.09275,0.0030957
0.16667,0.0925,0.0033166
0.33333,0.09325,0.0040311
0.5,0.09425,0.0054391
0.66667,0.09575,0.0071356
0.83333,0.09825,0.0097425
1,0.10175,0.014104
1.1667,0.107,0.019647
1.3333,0.113,0.025495
1.5,0.12,0.031188
1.6667,0.12925,0.037562
1.8333,0.14025,0.045901
2,0.15275,0.054322
2.1667,0.16575,0.064194
2.3333,0.181,0.075175
2.5,0.197,0.086967
2.6667,0.21475,0.099804
2.8333,0.23225,0.11056
3,0.248,0.11721
3.1667,0.266,0.1251
3.3333,0.282,0.13284
3.5,0.29525,0.13987
3.6667,0.30475,0.14492
3.8333,0.312,0.14936
4,0.3185,0.1535
4.1667,0.3265,0.15866
4.3333,0.33475,0.1639
4.5,0.341,0.16809
4.6667,0.34825,0.17287
4.8333,0.35625,0.17813
5,0.36425,0.18272
5.1667,0.37225,0.18809
5.3333,0.38025,0.19278
5.5,0.38775,0.19718
5.6667,0.395,0.20201
5.8333,0.402,0.20542
6,0.4095,0.20834
6.1667,0.41675,0.21113
6.3333,0.424,0.21187
6.5,0.43275,0.21232
6.6667,0.44275,0.21154
6.8333,0.453,0.21094
7,0.46475,0.20869
7.1667,0.478,0.20544
7.3333,0.493,0.20337
7.5,0.5075,0.19967
7.6667,0.52375,0.19384
7.8333,0.54125,0.18623
8,0.55975,0.17862
8.1667,0.57525,0.17303
8.3333,0.59025,0.17125
8.5,0.603,0.17192
8.6667,0.61325,0.17213
8.8333,0.6235,0.17363
9,0.63525,0.17624
9.1667,0.64675,0.17596
9.3333,0.65825,0.17365
9.5,0.66975,0.17279
9.6667,0.68,0.17224
9.8333,0.6895,0.17253
10,0.69875,0.17351
10.167,0.7065,0.1741
10.333,0.715,0.17595
10.5,0.72275,0.17779
10.667,0.73025,0.18068
10.833,0.7375,0.18217
11,0.74425,0.18404
11.167,0.7515,0.18553
11.333,0.759,0.1879
11.5,0.7655,0.18957
11.667,0.772,0.18987
11.833,0.77875,0.19161
12,0.784,0.19171
12.167,0.79025,0.19326
12.333,0.79575,0.19417
12.5,0.80025,0.19449
12.667,0.806,0.19496
12.833,0.8115,0.19535
13,0.815,0.19497
13.167,0.82025,0.19511
13.333,0.82475,0.19481
13.5,0.82875,0.19406
13.667,0.83375,0.19333
13.833,0.8385,0.19251
14,0.843,0.19216
14.167,0.84675,0.19129
14.333,0.85125,0.18967
14.5,0.85525,0.18766
14.667,0.8595,0.18716
14.833,0.86275,0.18527
15,0.8665,0.18447
15.167,0.8695,0.18253
15.333,0.87375,0.17999
15.5,0.877,0.17745
15.667,0.88,0.17479
15.833,0.88325,0.17303
16,0.887,0.17017
16.167,0.8905,0.16855
16.333,0.89375,0.16478
16.5,0.896,0.16154
16.667,0.899,0.15959
16.833,0.902,0.15628
17,0.90425,0.15385
17.167,0.90675,0.15081
17.333,0.90875,0.14954
17.5,0.91125,0.14727
17.667,0.9135,0.14484
17.833,0.91525,0.14264
18,0.917,0.14054
18.167,0.919,0.13867
18.333,0.921,0.13597
18.5,0.92275,0.13455
18.667,0.92425,0.13284
18.833,0.926,0.1307
19,0.92775,0.12784
19.167,0.92975,0.12712
19.333,0.93125,0.12415
19.5,0.93225,0.12213
19.667,0.933,0.11992
19.833,0.935,0.11855
20,0.93575,0.11707
20.167,0.93725,0.11535
20.333,0.9385,0.1136
20.5,0.93925,0.11212
20.667,0.94,0.11052
20.833,0.94025,0.10938
21,0.942,0.10862
21.167,0.943,0.10592
21.333,0.94275,0.10516
21.5,0.9435,0.10493
21.667,0.944,0.10394
21.833,0.945,0.10269
22,0.9445,0.10231
22.167,0.94475,0.10255
22.333,0.94525,0.10096
22.5,0.9455,0.099735
22.667,0.9465,0.099735
22.833,0.94625,0.098989
23,0.94675,0.098005
23.167,0.94675,0.098005
23.333,0.947,0.098887
23.5,0.947,0.098153
23.667,0.9475,0.097903
23.833,0.948,0.096919
