t,OD600,ste
0,0.093,0.0010954
0.16667,0.093,0.0010954
0.33333,0.093667,0.0018619
0.5,0.095,0.0026077
0.66667,0.096167,0.0035449
0.83333,0.098333,0.0045019
1,0.10067,0.0053541
1.1667,0.10317,0.0070828
1.3333,0.10683,0.0090425
1.5,0.1105,0.011415
1.6667,0.11433,0.014431
1.8333,0.11967,0.01766
2,0.12567,0.020944
2.1667,0.1325,0.025375
2.3333,0.14033,0.030263
2.5,0.1495,0.03591
2.6667,0.159,0.040905
2.8333,0.1695,0.045881
3,0.18183,0.051266
3.1667,0.19433,0.056134
3.3333,0.20733,0.060846
3.5,0.2205,0.064096
3.6667,0.23233,0.065445
3.8333,0.24183,0.06263
4,0.25,0.059471
4.1667,0.25917,0.05508
4.3333,0.2675,0.050639
4.5,0.27433,0.044876
4.6667,0.28183,0.039484
4.8333,0.28783,0.034568
5,0.29383,0.030747
5.1667,0.29983,0.026731
5.3333,0.30533,0.023019
5.5,0.30967,0.021658
5.6667,0.31483,0.021693
5.8333,0.31917,0.021821
6,0.3235,0.022457
6.1667,0.3285,0.023501
6.3333,0.33367,0.024492
6.5,0.33783,0.024326
6.6667,0.3405,0.022985
6.8333,0.345,0.022619
7,0.34933,0.022975
7.1667,0.35467,0.022862
7.3333,0.36033,0.023062
7.5,0.36467,0.021472
7.6667,0.36833,0.021304
7.8333,0.37333,0.021116
8,0.37783,0.020885
8.1667,0.38233,0.020549
8.3333,0.387,0.019647
8.5,0.3925,0.017762
8.6667,0.39667,0.018705
8.8333,0.4005,0.018706
9,0.4055,0.018338
9.1667,0.41033,0.016609
9.3333,0.41467,0.015908
9.5,0.4185,0.016465
9.6667,0.42317,0.016449
9.8333,0.42733,0.015475
10,0.43217,0.015677
10.167,0.43483,0.016774
10.333,0.43867,0.016633
10.5,0.44183,0.015158
10.667,0.44567,0.014445
10.833,0.44933,0.015188
11,0.45333,0.015016
11.167,0.45683,0.014607
11.333,0.45967,0.014868
11.5,0.463,0.0151
11.667,0.46533,0.014774
11.833,0.46817,0.014743
12,0.471,0.014873
12.167,0.4735,0.014963
12.333,0.47583,0.014892
12.5,0.47883,0.015198
12.667,0.48117,0.015715
12.833,0.4835,0.015372
13,0.48533,0.015807
13.167,0.48817,0.015791
13.333,0.4905,0.015947
13.5,0.49233,0.016342
13.667,0.4945,0.01692
13.833,0.49633,0.017154
14,0.49817,0.016905
14.167,0.50017,0.017116
14.333,0.502,0.01739
14.5,0.5035,0.018086
14.667,0.50617,0.017736
14.833,0.508,0.018011
15,0.51017,0.017971
15.167,0.51133,0.01803
15.333,0.51367,0.018096
15.5,0.51483,0.018734
15.667,0.5165,0.018371
15.833,0.51833,0.018662
16,0.52,0.018868
16.167,0.52133,0.018907
16.333,0.52333,0.018907
16.5,0.5245,0.01862
16.667,0.52617,0.018584
16.833,0.52717,0.018925
17,0.52933,0.018991
17.167,0.53033,0.019325
17.333,0.53217,0.019333
17.5,0.533,0.01937
17.667,0.535,0.019606
17.833,0.5355,0.019274
18,0.537,0.019667
18.167,0.53817,0.019651
18.333,0.53917,0.019884
18.5,0.54017,0.020233
18.667,0.542,0.02062
18.833,0.54267,0.020695
19,0.5435,0.020715
19.167,0.5445,0.020715
19.333,0.5455,0.020354
19.5,0.54683,0.021009
19.667,0.54767,0.020422
19.833,0.54767,0.020422
20,0.54883,0.020624
20.167,0.55067,0.021778
20.333,0.5515,0.021566
20.5,0.55233,0.022106
20.667,0.55333,0.021878
20.833,0.55333,0.0215
21,0.554,0.021232
21.167,0.55433,0.021649
21.333,0.556,0.021382
21.5,0.55617,0.021572
21.667,0.557,0.021753
21.833,0.5575,0.021342
22,0.558,0.02155
22.167,0.55867,0.020925
22.333,0.5595,0.020364
22.5,0.56067,0.020685
22.667,0.561,0.020367
22.833,0.56133,0.020452
23,0.562,0.019799
23.167,0.5625,0.020017
23.333,0.56333,0.020096
23.5,0.5645,0.020491
23.667,0.56467,0.019856
23.833,0.565,0.020494
