t,OD600,ste
0,0.0955,0.0017321
0.16667,0.096,0.0014142
0.33333,0.09675,0.0015
0.5,0.09725,0.001893
0.66667,0.099,0.0014142
0.83333,0.101,0.0014142
1,0.10375,0.0017078
1.1667,0.1075,0.0017321
1.3333,0.11325,0.001893
1.5,0.12075,0.0017078
1.6667,0.132,0.0021602
1.8333,0.14375,0.0015
2,0.15625,0.0028723
2.1667,0.1745,0.0019149
2.3333,0.19425,0.0025
2.5,0.2175,0.0033166
2.6667,0.24225,0.0029861
2.8333,0.26775,0.0038622
3,0.28,0.0031623
3.1667,0.29025,0.0041932
3.3333,0.29975,0.0030957
3.5,0.30925,0.0037749
3.6667,0.319,0.005831
3.8333,0.32975,0.0075443
4,0.339,0.010033
4.1667,0.348,0.011165
4.3333,0.35475,0.012121
4.5,0.3615,0.012583
4.6667,0.36825,0.014009
4.8333,0.37225,0.014997
5,0.379,0.015253
5.1667,0.3865,0.016583
5.3333,0.39325,0.018927
5.5,0.39875,0.021188
5.6667,0.40575,0.023085
5.8333,0.4185,0.02409
6,0.43325,0.020839
6.1667,0.44725,0.016621
6.3333,0.4595,0.014201
6.5,0.4715,0.011902
6.6667,0.48125,0.0088081
6.8333,0.49175,0.0078049
7,0.5015,0.0066081
7.1667,0.51075,0.005058
7.3333,0.5205,0.0047258
7.5,0.5285,0.0042032
7.6667,0.53625,0.0049244
7.8333,0.54275,0.0041932
8,0.55,0.0040825
8.1667,0.5565,0.0050662
8.3333,0.56425,0.0055603
8.5,0.57125,0.0056789
8.6667,0.578,0.006377
8.8333,0.584,0.006377
9,0.59,0.0062183
9.1667,0.59725,0.0073201
9.3333,0.604,0.0073937
9.5,0.6105,0.0077244
9.6667,0.617,0.0090921
9.8333,0.624,0.0084063
10,0.63025,0.0093941
10.167,0.63675,0.0088835
10.333,0.64275,0.0091788
10.5,0.649,0.0086023
10.667,0.65575,0.0091788
10.833,0.66175,0.0097082
11,0.669,0.0098319
11.167,0.675,0.010328
11.333,0.6805,0.011387
11.5,0.6865,0.011705
11.667,0.693,0.01169
11.833,0.699,0.012675
12,0.7045,0.012689
12.167,0.71,0.012728
12.333,0.71625,0.013401
12.5,0.7215,0.013304
12.667,0.728,0.013089
12.833,0.733,0.01388
13,0.7385,0.013178
13.167,0.74275,0.014408
13.333,0.74825,0.013937
13.5,0.754,0.01388
13.667,0.7595,0.014083
13.833,0.764,0.013832
14,0.7695,0.014526
14.167,0.7755,0.015067
14.333,0.7795,0.014387
14.5,0.7845,0.015067
14.667,0.789,0.015684
14.833,0.79425,0.01565
15,0.79925,0.01565
15.167,0.8045,0.015264
15.333,0.80825,0.016153
15.5,0.81275,0.015798
15.667,0.81775,0.016317
15.833,0.822,0.016793
16,0.82625,0.016681
16.167,0.82975,0.01686
16.333,0.83375,0.016919
16.5,0.838,0.017569
16.667,0.8425,0.017748
16.833,0.84625,0.018118
17,0.85075,0.018301
17.167,0.855,0.018565
17.333,0.85775,0.018839
17.5,0.8615,0.01852
17.667,0.86525,0.018428
17.833,0.86925,0.018998
18,0.87275,0.019225
18.167,0.876,0.019579
18.333,0.8795,0.019365
18.5,0.88275,0.019363
18.667,0.88625,0.019466
18.833,0.88975,0.019822
19,0.89275,0.019973
19.167,0.89575,0.019856
19.333,0.89925,0.020255
19.5,0.90175,0.019822
19.667,0.904,0.019715
19.833,0.907,0.019765
20,0.91075,0.019466
20.167,0.91375,0.020597
20.333,0.9175,0.02024
20.5,0.919,0.020445
20.667,0.92175,0.021313
20.833,0.92425,0.021546
21,0.9265,0.021299
21.167,0.929,0.021556
21.333,0.93075,0.022426
21.5,0.93325,0.022051
21.667,0.9355,0.022546
21.833,0.938,0.022286
22,0.94,0.022286
22.167,0.942,0.02292
22.333,0.94425,0.022677
22.5,0.94675,0.023143
22.667,0.9475,0.023173
22.833,0.94925,0.023415
23,0.951,0.02418
23.167,0.95225,0.024033
23.333,0.954,0.024166
23.5,0.956,0.024886
23.667,0.957,0.025456
23.833,0.95925,0.025303
