t,OD600,ste
0,0.09725,0.0012583
0.16667,0.0975,0.0017321
0.33333,0.0985,0.0017321
0.5,0.09975,0.0017078
0.66667,0.102,0.0014142
0.83333,0.10575,0.0020616
1,0.11,0.0018257
1.1667,0.1155,0.0017321
1.3333,0.1235,0.0019149
1.5,0.13475,0.0017078
1.6667,0.14675,0.0017078
1.8333,0.1605,0.0017321
2,0.177,0.0011547
2.1667,0.1965,0.0017321
2.3333,0.21825,0.0023629
2.5,0.242,0.0049666
2.6667,0.2685,0.0075498
2.8333,0.2985,0.010909
3,0.331,0.015853
3.1667,0.36475,0.016701
3.3333,0.3885,0.018046
3.5,0.398,0.015684
3.6667,0.40675,0.012685
3.8333,0.41025,0.010145
4,0.414,0.0094868
4.1667,0.4165,0.0091104
4.3333,0.42275,0.0088459
4.5,0.4295,0.0084261
4.6667,0.4375,0.0065574
4.8333,0.44375,0.0063966
5,0.44975,0.0068981
5.1667,0.45625,0.0058523
5.3333,0.4645,0.0058023
5.5,0.473,0.0059442
5.6667,0.4815,0.0054467
5.8333,0.48975,0.0046458
6,0.4965,0.0058023
6.1667,0.50175,0.0072744
6.3333,0.50825,0.0076757
6.5,0.514,0.0085245
6.6667,0.5195,0.0088129
6.8333,0.52525,0.0089954
7,0.53025,0.0086939
7.1667,0.53525,0.010079
7.3333,0.541,0.0089815
7.5,0.54525,0.0098784
7.6667,0.5505,0.010472
7.8333,0.5555,0.010909
8,0.56025,0.010751
8.1667,0.56475,0.010468
8.3333,0.56975,0.0097082
8.5,0.57425,0.010046
8.6667,0.579,0.010677
8.8333,0.58275,0.01072
9,0.58725,0.011236
9.1667,0.59125,0.011786
9.3333,0.5965,0.013026
9.5,0.6,0.013292
9.6667,0.60375,0.012366
9.8333,0.6085,0.01245
10,0.6125,0.012871
10.167,0.6165,0.012234
10.333,0.6205,0.012793
10.5,0.624,0.012728
10.667,0.62825,0.013048
10.833,0.633,0.012728
11,0.63675,0.012842
11.167,0.64075,0.013598
11.333,0.645,0.012884
11.5,0.6495,0.013379
11.667,0.653,0.013038
11.833,0.657,0.012356
12,0.66125,0.0132
12.167,0.664,0.013292
12.333,0.667,0.015033
12.5,0.67075,0.014728
12.667,0.67575,0.013351
12.833,0.6795,0.013429
13,0.68325,0.0132
13.167,0.68675,0.013426
13.333,0.69,0.01291
13.5,0.69375,0.013074
13.667,0.698,0.013038
13.833,0.70125,0.013048
14,0.70525,0.014315
14.167,0.708,0.013711
14.333,0.71175,0.014361
14.5,0.71475,0.014245
14.667,0.71875,0.015327
14.833,0.72275,0.016049
15,0.726,0.015188
15.167,0.72825,0.015064
15.333,0.731,0.015642
15.5,0.734,0.016269
15.667,0.7375,0.016299
15.833,0.74075,0.017462
16,0.7435,0.017521
16.167,0.74675,0.017231
16.333,0.747,0.017795
16.5,0.75,0.017185
16.667,0.752,0.017795
16.833,0.7535,0.018448
17,0.756,0.018938
17.167,0.7595,0.020042
17.333,0.76025,0.019276
17.5,0.76175,0.01938
17.667,0.7625,0.019227
17.833,0.7645,0.019824
18,0.7675,0.020207
18.167,0.76825,0.020839
18.333,0.76925,0.020662
18.5,0.77025,0.020056
18.667,0.77125,0.020451
18.833,0.773,0.021494
19,0.77425,0.021823
19.167,0.775,0.023252
19.333,0.775,0.022818
19.5,0.77575,0.023027
19.667,0.77675,0.022232
19.833,0.7775,0.022053
20,0.779,0.021556
20.167,0.778,0.021229
20.333,0.77825,0.021608
20.5,0.7775,0.023072
20.667,0.77875,0.024268
20.833,0.778,0.025153
21,0.77875,0.02529
21.167,0.7775,0.025839
21.333,0.77625,0.025591
21.5,0.776,0.025703
21.667,0.77525,0.02612
21.833,0.774,0.026051
22,0.77325,0.026475
22.167,0.77225,0.027645
22.333,0.77125,0.028004
22.5,0.7705,0.027647
22.667,0.769,0.02794
22.833,0.7675,0.027453
23,0.76675,0.027885
23.167,0.7655,0.027453
23.333,0.7645,0.027839
23.5,0.76275,0.028277
23.667,0.76225,0.028756
23.833,0.76225,0.029159
