t,OD600,ste
0,0.09425,0.0005
0.16667,0.09425,0.0005
0.33333,0.09475,0.0005
0.5,0.0955,0.00057735
0.66667,0.0965,0.00057735
0.83333,0.09825,0.0005
1,0.10075,0.0005
1.1667,0.10375,0.0005
1.3333,0.1095,0.00057735
1.5,0.11675,0.0005
1.6667,0.127,0.0008165
1.8333,0.1405,0.001
2,0.15375,0.00095743
2.1667,0.172,0.0014142
2.3333,0.1935,0.00057735
2.5,0.218,0.0018257
2.6667,0.24125,0.0020616
2.8333,0.26925,0.0029861
3,0.2815,0.0019149
3.1667,0.294,0.0029439
3.3333,0.30425,0.003304
3.5,0.31625,0.0035
3.6667,0.32475,0.003594
3.8333,0.3335,0.0056862
4,0.34025,0.0045735
4.1667,0.34625,0.0022174
4.3333,0.352,0.0031623
4.5,0.358,0.0036515
4.6667,0.365,0.0046904
4.8333,0.3735,0.0097468
5,0.38275,0.016601
5.1667,0.39225,0.022157
5.3333,0.40325,0.025158
5.5,0.418,0.027483
5.6667,0.432,0.026696
5.8333,0.4475,0.022219
6,0.46,0.020928
6.1667,0.47075,0.019363
6.3333,0.4805,0.01634
6.5,0.48925,0.012447
6.6667,0.496,0.011431
6.8333,0.50325,0.0098446
7,0.51125,0.0084212
7.1667,0.51775,0.01021
7.3333,0.52425,0.01034
7.5,0.531,0.010739
7.6667,0.53725,0.012312
7.8333,0.54325,0.01223
8,0.54975,0.01201
8.1667,0.55725,0.011955
8.3333,0.56275,0.011758
8.5,0.56875,0.011871
8.6667,0.57475,0.010813
8.8333,0.581,0.011489
9,0.5855,0.0094692
9.1667,0.591,0.010296
9.3333,0.597,0.010708
9.5,0.6015,0.010279
9.6667,0.60575,0.011529
9.8333,0.61125,0.01242
10,0.61725,0.012312
10.167,0.62175,0.013574
10.333,0.6275,0.014731
10.5,0.63325,0.013099
10.667,0.639,0.012675
10.833,0.644,0.013115
11,0.64825,0.014361
11.167,0.65275,0.014523
11.333,0.658,0.014832
11.5,0.66325,0.015414
11.667,0.66825,0.014546
11.833,0.67375,0.017385
12,0.6785,0.017137
12.167,0.68425,0.016958
12.333,0.68825,0.018626
12.5,0.69275,0.018804
12.667,0.698,0.019166
12.833,0.7025,0.019536
13,0.7075,0.019604
13.167,0.71275,0.021093
13.333,0.71725,0.022322
13.5,0.72225,0.022897
13.667,0.72675,0.022456
13.833,0.73125,0.022202
14,0.73575,0.022307
14.167,0.74075,0.022662
14.333,0.7445,0.023345
14.5,0.74875,0.023557
14.667,0.75275,0.02413
14.833,0.75625,0.023796
15,0.76125,0.02413
15.167,0.76475,0.024254
15.333,0.76825,0.025065
15.5,0.7715,0.025684
15.667,0.77575,0.026323
15.833,0.77975,0.027873
16,0.7835,0.028595
16.167,0.787,0.029086
16.333,0.791,0.029676
16.5,0.79475,0.030215
16.667,0.7985,0.030567
16.833,0.8015,0.030567
17,0.8045,0.030567
17.167,0.80875,0.030631
17.333,0.813,0.031707
17.5,0.81575,0.031983
17.667,0.81875,0.031415
17.833,0.82325,0.031795
18,0.82625,0.0317
18.167,0.829,0.032156
18.333,0.83175,0.032521
18.5,0.8355,0.032109
18.667,0.839,0.031948
18.833,0.843,0.031948
19,0.8455,0.03189
19.167,0.84775,0.032561
19.333,0.85025,0.032623
19.5,0.853,0.031906
19.667,0.85525,0.032222
19.833,0.85675,0.032551
20,0.859,0.032873
20.167,0.86225,0.032816
20.333,0.86275,0.034053
20.5,0.86525,0.035113
20.667,0.867,0.035618
20.833,0.86825,0.037819
21,0.869,0.037247
21.167,0.872,0.037443
21.333,0.87325,0.037429
21.5,0.874,0.037833
21.667,0.87575,0.038638
21.833,0.87775,0.038439
22,0.8785,0.039137
22.167,0.8795,0.039417
22.333,0.88025,0.039449
22.5,0.8815,0.039408
22.667,0.8825,0.039987
22.833,0.8825,0.041122
23,0.88325,0.040722
23.167,0.88425,0.041748
23.333,0.8855,0.042004
23.5,0.8865,0.042658
23.667,0.88775,0.042976
23.833,0.88825,0.04289
