t,OD600,ste
0,0.099667,0.0050859
0.16667,0.1015,0.0066858
0.33333,0.1045,0.0090277
0.5,0.10967,0.012078
0.66667,0.11617,0.015753
0.83333,0.12417,0.019198
1,0.13483,0.023224
1.1667,0.14833,0.028486
1.3333,0.16417,0.035182
1.5,0.18133,0.041693
1.6667,0.20017,0.046076
1.8333,0.22283,0.051619
2,0.24833,0.059271
2.1667,0.27167,0.058579
2.3333,0.29533,0.054412
2.5,0.319,0.047556
2.6667,0.3385,0.037676
2.8333,0.35483,0.030089
3,0.368,0.025306
3.1667,0.37917,0.020272
3.3333,0.38683,0.017815
3.5,0.39317,0.015804
3.6667,0.4,0.016297
3.8333,0.40567,0.01587
4,0.4125,0.016208
4.1667,0.41867,0.015267
4.3333,0.42633,0.015082
4.5,0.43367,0.016182
4.6667,0.44217,0.015753
4.8333,0.45083,0.014525
5,0.46033,0.013823
5.1667,0.469,0.014311
5.3333,0.47883,0.014757
5.5,0.48883,0.015289
5.6667,0.49917,0.01588
5.8333,0.51183,0.017904
6,0.52367,0.019294
6.1667,0.53733,0.020675
6.3333,0.5495,0.019715
6.5,0.5625,0.019181
6.6667,0.575,0.018963
6.8333,0.58867,0.018129
7,0.60217,0.020163
7.1667,0.615,0.018504
7.3333,0.62783,0.016987
7.5,0.642,0.015672
7.6667,0.654,0.014353
7.8333,0.6665,0.015758
8,0.6775,0.015694
8.1667,0.6885,0.014639
8.3333,0.701,0.013609
8.5,0.711,0.014014
8.6667,0.7185,0.013795
8.8333,0.72867,0.013604
9,0.73933,0.013619
9.1667,0.74717,0.012766
9.3333,0.75583,0.012766
9.5,0.763,0.012853
9.6667,0.77133,0.012061
9.8333,0.78067,0.012176
10,0.78733,0.012078
10.167,0.79317,0.012007
10.333,0.79983,0.012287
10.5,0.80583,0.012781
10.667,0.81317,0.013732
10.833,0.81983,0.0124
11,0.82683,0.012057
11.167,0.83217,0.012734
11.333,0.83633,0.012817
11.5,0.8425,0.013233
11.667,0.847,0.013971
11.833,0.85133,0.014404
12,0.856,0.0151
12.167,0.8605,0.015579
12.333,0.86533,0.015227
12.5,0.8705,0.014734
12.667,0.874,0.015258
12.833,0.87767,0.016108
13,0.88067,0.016096
13.167,0.88383,0.01629
13.333,0.88767,0.016367
13.5,0.89133,0.016083
13.667,0.895,0.016959
13.833,0.8975,0.017444
14,0.8995,0.017444
14.167,0.902,0.017367
14.333,0.905,0.017584
14.5,0.90783,0.016987
14.667,0.91017,0.01663
14.833,0.91217,0.017543
15,0.91417,0.017463
15.167,0.91667,0.017558
15.333,0.918,0.017944
15.5,0.9195,0.018652
15.667,0.922,0.018847
15.833,0.92267,0.018928
16,0.92417,0.019343
16.167,0.92517,0.01926
16.333,0.92583,0.020004
16.5,0.92717,0.019712
16.667,0.9275,0.020374
16.833,0.92817,0.020971
17,0.92967,0.020176
17.167,0.92967,0.020906
17.333,0.92933,0.021342
17.5,0.93017,0.021803
17.667,0.93033,0.021796
17.833,0.93033,0.022402
18,0.93,0.022935
18.167,0.9305,0.023441
18.333,0.93083,0.02337
18.5,0.93017,0.023718
18.667,0.92967,0.024304
18.833,0.92967,0.024792
19,0.92917,0.025087
19.167,0.92867,0.025758
19.333,0.9285,0.026006
19.5,0.9285,0.026205
19.667,0.92767,0.026364
19.833,0.9275,0.026823
20,0.92717,0.027125
20.167,0.92683,0.027162
20.333,0.92617,0.027622
20.5,0.9255,0.02779
20.667,0.9255,0.02779
20.833,0.9245,0.02779
21,0.9235,0.02779
21.167,0.92367,0.027919
21.333,0.9235,0.028395
21.5,0.923,0.028453
21.667,0.92267,0.028112
21.833,0.92267,0.028759
22,0.92183,0.028449
22.167,0.9215,0.028752
22.333,0.92133,0.028752
22.5,0.92117,0.028951
22.667,0.92083,0.029096
22.833,0.92167,0.02898
23,0.92167,0.029091
23.167,0.921,0.028941
23.333,0.92117,0.028951
23.5,0.921,0.029712
23.667,0.92167,0.028994
23.833,0.9215,0.029582
