t,OD600,ste
0,0.1005,0.0058523
0.16667,0.102,0
0.33333,0.1055,0.001
0.5,0.111,0.0008165
0.66667,0.118,0.0008165
0.83333,0.1285,0.001291
1,0.14,0.0014142
1.1667,0.154,0.0014142
1.3333,0.1715,0.001291
1.5,0.19225,0.00095743
1.6667,0.214,0.0014142
1.8333,0.23875,0.005909
2,0.2645,0.0067577
2.1667,0.298,0.0066833
2.3333,0.33825,0.0088835
2.5,0.36975,0.012971
2.6667,0.39825,0.011325
2.8333,0.4095,0.012396
3,0.41925,0.0095699
3.1667,0.42625,0.0071356
3.3333,0.43625,0.0092871
3.5,0.449,0.0082865
3.6667,0.45675,0.005909
3.8333,0.4635,0.0051962
4,0.47075,0.0048563
4.1667,0.478,0.0046904
4.3333,0.48625,0.0043493
4.5,0.495,0.004761
4.6667,0.50525,0.0061305
4.8333,0.51775,0.0062915
5,0.53075,0.007932
5.1667,0.54525,0.0084607
5.3333,0.5635,0.0097468
5.5,0.58175,0.0086554
5.6667,0.59975,0.010145
5.8333,0.61825,0.010308
6,0.63525,0.012685
6.1667,0.656,0.01257
6.3333,0.67725,0.014198
6.5,0.69375,0.015521
6.6667,0.713,0.018708
6.8333,0.73175,0.018998
7,0.753,0.019235
7.1667,0.76975,0.021014
7.3333,0.78825,0.020597
7.5,0.80525,0.02193
7.6667,0.82275,0.022706
7.8333,0.8395,0.021626
8,0.856,0.022613
8.1667,0.8705,0.023615
8.3333,0.88475,0.024514
8.5,0.89725,0.025966
8.6667,0.91125,0.024676
8.8333,0.924,0.024495
9,0.93575,0.024418
9.1667,0.94775,0.024459
9.3333,0.95875,0.025708
9.5,0.96875,0.025025
9.6667,0.97925,0.024865
9.8333,0.989,0.024752
10,0.9975,0.02541
10.167,1.0062,0.025316
10.333,1.0137,0.025682
10.5,1.0215,0.024947
10.667,1.0277,0.026107
10.833,1.0353,0.024676
11,1.0413,0.026056
11.167,1.0483,0.02626
11.333,1.0527,0.025747
11.5,1.0585,0.025671
11.667,1.0635,0.025199
11.833,1.0685,0.02635
12,1.0725,0.026489
12.167,1.0753,0.027097
12.333,1.079,0.027386
12.5,1.0827,0.026862
12.667,1.0865,0.027234
12.833,1.0893,0.027885
13,1.0925,0.028125
13.167,1.096,0.027362
13.333,1.0995,0.027453
13.5,1.1018,0.028135
13.667,1.1038,0.028135
13.833,1.106,0.028107
14,1.107,0.028798
14.167,1.1098,0.029477
14.333,1.111,0.029944
14.5,1.1142,0.02996
14.667,1.1162,0.030434
14.833,1.1178,0.030642
15,1.1202,0.03017
15.167,1.1222,0.030653
15.333,1.1232,0.030663
15.5,1.1247,0.030412
15.667,1.1258,0.030412
15.833,1.127,0.030908
16,1.1295,0.031838
16.167,1.1307,0.031826
16.333,1.1322,0.031595
16.5,1.133,0.032301
16.667,1.1347,0.032572
16.833,1.137,0.032321
17,1.1385,0.032787
17.167,1.1392,0.03326
17.333,1.141,0.032568
17.5,1.142,0.032792
17.667,1.1433,0.0333
17.833,1.1455,0.033769
18,1.1465,0.033769
18.167,1.147,0.034244
18.333,1.1492,0.034769
18.5,1.1505,0.034501
18.667,1.1513,0.034712
18.833,1.1527,0.035246
19,1.154,0.035043
19.167,1.1538,0.035246
19.333,1.1538,0.035246
19.5,1.155,0.036
19.667,1.1562,0.035725
19.833,1.1565,0.036189
20,1.1575,0.036928
20.167,1.158,0.036742
20.333,1.1592,0.037206
20.5,1.1605,0.03789
20.667,1.161,0.038149
20.833,1.161,0.038149
21,1.1612,0.03817
21.167,1.1627,0.038656
21.333,1.1633,0.039229
21.5,1.1643,0.038913
21.667,1.1645,0.03894
21.833,1.1665,0.03894
22,1.1658,0.039322
22.167,1.166,0.040092
22.333,1.1665,0.039602
22.5,1.1667,0.040061
22.667,1.1672,0.040549
22.833,1.1678,0.040803
23,1.168,0.040833
23.167,1.1683,0.040869
23.333,1.1685,0.041008
23.5,1.1687,0.040803
23.667,1.1695,0.041089
23.833,1.1695,0.041008
