t,OD600,ste
0,0.1,0.0070427
0.16667,0.10133,0.0084063
0.33333,0.104,0.010257
0.5,0.1085,0.013635
0.66667,0.11417,0.01768
0.83333,0.1215,0.022061
1,0.13067,0.026897
1.1667,0.142,0.033853
1.3333,0.15567,0.041807
1.5,0.17183,0.048577
1.6667,0.191,0.054805
1.8333,0.21167,0.06216
2,0.23383,0.070633
2.1667,0.25933,0.077039
2.3333,0.2845,0.081569
2.5,0.3115,0.084708
2.6667,0.34033,0.086759
2.8333,0.3625,0.080259
3,0.3835,0.071607
3.1667,0.40283,0.061036
3.3333,0.41883,0.051297
3.5,0.43283,0.043079
3.6667,0.44383,0.037886
3.8333,0.45333,0.03503
4,0.46117,0.036323
4.1667,0.4685,0.039083
4.3333,0.47467,0.04164
4.5,0.481,0.045175
4.6667,0.48867,0.049286
4.8333,0.4965,0.052971
5,0.504,0.057152
5.1667,0.5115,0.060606
5.3333,0.519,0.064402
5.5,0.52783,0.066397
5.6667,0.53667,0.069999
5.8333,0.5455,0.07255
6,0.55783,0.080643
6.1667,0.56733,0.082636
6.3333,0.5775,0.086058
6.5,0.58717,0.088208
6.6667,0.59967,0.092162
6.8333,0.61133,0.093273
7,0.62317,0.095763
7.1667,0.6355,0.095768
7.3333,0.64833,0.09792
7.5,0.66033,0.097091
7.6667,0.67317,0.097635
7.8333,0.6835,0.096583
8,0.69717,0.096833
8.1667,0.7095,0.09679
8.3333,0.72133,0.096643
8.5,0.734,0.096254
8.6667,0.74467,0.095265
8.8333,0.75617,0.095076
9,0.76583,0.092346
9.1667,0.7785,0.089596
9.3333,0.788,0.088397
9.5,0.7995,0.087954
9.6667,0.8085,0.085104
9.8333,0.81633,0.084068
10,0.82517,0.080943
10.167,0.83317,0.081185
10.333,0.84083,0.078201
10.5,0.849,0.077069
10.667,0.85733,0.075643
10.833,0.86383,0.072841
11,0.86967,0.071634
11.167,0.87567,0.069408
11.333,0.882,0.067735
11.5,0.887,0.064829
11.667,0.89267,0.063796
11.833,0.898,0.062722
12,0.90317,0.06034
12.167,0.90783,0.057995
12.333,0.91117,0.058249
12.5,0.91483,0.056119
12.667,0.91817,0.055884
12.833,0.921,0.054976
13,0.924,0.054048
13.167,0.9265,0.052675
13.333,0.92917,0.051565
13.5,0.93183,0.04962
13.667,0.93417,0.04891
13.833,0.9355,0.048727
14,0.93733,0.047974
14.167,0.939,0.047257
14.333,0.94117,0.046379
14.5,0.9425,0.047277
14.667,0.94283,0.047625
14.833,0.94433,0.048153
15,0.9455,0.047171
15.167,0.94567,0.046813
15.333,0.94733,0.047786
15.5,0.94767,0.047807
15.667,0.9485,0.048057
15.833,0.94867,0.048808
16,0.94967,0.048837
16.167,0.94983,0.049781
16.333,0.95117,0.049773
16.5,0.95217,0.049515
16.667,0.95183,0.050736
16.833,0.95233,0.051204
17,0.953,0.051315
17.167,0.953,0.051992
17.333,0.953,0.053205
17.5,0.95383,0.052928
17.667,0.9545,0.053486
17.833,0.95433,0.053731
18,0.95467,0.05432
18.167,0.95517,0.054463
18.333,0.95583,0.05512
18.5,0.95583,0.056524
18.667,0.9555,0.056578
18.833,0.95517,0.056996
19,0.955,0.057824
19.167,0.95433,0.057875
19.333,0.95467,0.058367
19.5,0.95533,0.058377
19.667,0.9555,0.059416
19.833,0.95567,0.059966
20,0.95567,0.059966
20.167,0.95517,0.060291
20.333,0.95567,0.060695
20.5,0.95483,0.06161
20.667,0.9555,0.061471
20.833,0.95583,0.062371
21,0.955,0.062479
21.167,0.95467,0.063045
21.333,0.955,0.063476
21.5,0.95483,0.063989
21.667,0.9545,0.064177
21.833,0.95483,0.064241
22,0.95467,0.064874
22.167,0.954,0.065183
22.333,0.954,0.065446
22.5,0.95333,0.066084
22.667,0.95333,0.066005
22.833,0.9535,0.066425
23,0.9535,0.066881
23.167,0.95317,0.067211
23.333,0.953,0.067186
23.5,0.95233,0.067583
23.667,0.953,0.068035
23.833,0.952,0.067974
