t,OD600,ste
0,0.092667,0.0005164
0.16667,0.093,0.00063246
0.33333,0.093167,0.00075277
0.5,0.093833,0.00098319
0.66667,0.095,0.00089443
0.83333,0.0965,0.0015166
1,0.098333,0.0019664
1.1667,0.10117,0.0027142
1.3333,0.10533,0.0038297
1.5,0.11167,0.005785
1.6667,0.12017,0.008085
1.8333,0.131,0.0095289
2,0.14317,0.01087
2.1667,0.15767,0.013501
2.3333,0.17583,0.016893
2.5,0.19767,0.017154
2.6667,0.22133,0.019674
2.8333,0.2445,0.021732
3,0.26467,0.018705
3.1667,0.28233,0.01418
3.3333,0.29533,0.016428
3.5,0.30817,0.019894
3.6667,0.3205,0.020849
3.8333,0.3325,0.022025
4,0.34383,0.024758
4.1667,0.35567,0.029432
4.3333,0.36633,0.033417
4.5,0.37583,0.036657
4.6667,0.382,0.037847
4.8333,0.388,0.037794
5,0.3935,0.040707
5.1667,0.401,0.044163
5.3333,0.408,0.046484
5.5,0.4145,0.047794
5.6667,0.42167,0.047395
5.8333,0.43017,0.047881
6,0.44017,0.047759
6.1667,0.4505,0.047886
6.3333,0.4605,0.04723
6.5,0.47017,0.044056
6.6667,0.4795,0.040303
6.8333,0.48967,0.036817
7,0.49833,0.033643
7.1667,0.506,0.031629
7.3333,0.51317,0.029695
7.5,0.52033,0.029636
7.6667,0.5265,0.028367
7.8333,0.531,0.02684
8,0.53783,0.025341
8.1667,0.54467,0.025367
8.3333,0.55,0.024747
8.5,0.55433,0.023796
8.6667,0.55917,0.024334
8.8333,0.564,0.023942
9,0.56967,0.022633
9.1667,0.57417,0.023121
9.3333,0.578,0.023715
9.5,0.58317,0.023819
9.6667,0.58733,0.024792
9.8333,0.591,0.025092
10,0.59533,0.024435
10.167,0.5995,0.023467
10.333,0.6035,0.024485
10.5,0.60783,0.024318
10.667,0.61217,0.023473
10.833,0.6165,0.025257
11,0.62117,0.024895
11.167,0.62483,0.025151
11.333,0.62917,0.024531
11.5,0.63283,0.024145
11.667,0.637,0.023866
11.833,0.63967,0.024451
12,0.644,0.02465
12.167,0.64817,0.024474
12.333,0.65267,0.024614
12.5,0.65683,0.024293
12.667,0.66083,0.024815
12.833,0.66483,0.024766
13,0.66833,0.025193
13.167,0.67133,0.024055
13.333,0.6745,0.024222
13.5,0.6785,0.024712
13.667,0.68167,0.024921
13.833,0.68567,0.024817
14,0.68883,0.025325
14.167,0.69183,0.025294
14.333,0.695,0.025044
14.5,0.69917,0.025748
14.667,0.7015,0.025462
14.833,0.704,0.025487
15,0.707,0.025417
15.167,0.71017,0.025911
15.333,0.71367,0.025492
15.5,0.71583,0.025254
15.667,0.71933,0.02524
15.833,0.72217,0.025459
16,0.7245,0.025493
16.167,0.7275,0.025026
16.333,0.73067,0.024768
16.5,0.7335,0.025154
16.667,0.73617,0.024887
16.833,0.73917,0.024847
17,0.74117,0.024095
17.167,0.74333,0.024378
17.333,0.74567,0.024631
17.5,0.748,0.02469
17.667,0.75083,0.02462
17.833,0.753,0.024633
18,0.7555,0.024615
18.167,0.758,0.024771
18.333,0.75967,0.024929
18.5,0.76133,0.024279
18.667,0.764,0.024528
18.833,0.76617,0.024847
19,0.7675,0.024354
19.167,0.76983,0.024302
19.333,0.7715,0.024882
19.5,0.77367,0.024345
19.667,0.7755,0.024656
19.833,0.7775,0.024395
20,0.77867,0.024865
20.167,0.78017,0.025047
20.333,0.78167,0.025461
20.5,0.7835,0.025797
20.667,0.78517,0.026034
20.833,0.786,0.026601
21,0.787,0.026488
21.167,0.78817,0.026596
21.333,0.78967,0.027413
21.5,0.79117,0.02736
21.667,0.79133,0.027558
21.833,0.79233,0.02758
22,0.79333,0.028211
22.167,0.79417,0.028081
22.333,0.79417,0.027824
22.5,0.795,0.028086
22.667,0.79533,0.028542
22.833,0.79617,0.02852
23,0.7955,0.027905
23.167,0.796,0.028128
23.333,0.79667,0.028577
23.5,0.7975,0.02885
23.667,0.798,0.029373
23.833,0.7985,0.029228
