t,OD600,ste
0,0.092,0.00089443
0.16667,0.092,0.00089443
0.33333,0.092,0.00089443
0.5,0.092167,0.00075277
0.66667,0.0925,0.00083666
0.83333,0.093333,0.0010328
1,0.093667,0.0013663
1.1667,0.095,0.0017889
1.3333,0.096333,0.0022509
1.5,0.098833,0.0029269
1.6667,0.1015,0.003937
1.8333,0.10483,0.0056362
2,0.10867,0.0077115
2.1667,0.114,0.009757
2.3333,0.12067,0.011535
2.5,0.128,0.012853
2.6667,0.13767,0.014024
2.8333,0.14817,0.015158
3,0.1605,0.016171
3.1667,0.17467,0.016256
3.3333,0.1895,0.014789
3.5,0.20583,0.013819
3.6667,0.223,0.012931
3.8333,0.2385,0.0088713
4,0.2555,0.0058907
4.1667,0.2695,0.0063482
4.3333,0.28283,0.0081097
4.5,0.29533,0.0088694
4.6667,0.30883,0.0097451
4.8333,0.32283,0.011303
5,0.335,0.016852
5.1667,0.3475,0.020007
5.3333,0.35617,0.017348
5.5,0.3635,0.014516
5.6667,0.37333,0.016967
5.8333,0.3835,0.022323
6,0.39617,0.02773
6.1667,0.40367,0.033206
6.3333,0.41033,0.037361
6.5,0.41733,0.034576
6.6667,0.424,0.03257
6.8333,0.43283,0.033576
7,0.44167,0.031532
7.1667,0.45133,0.02779
7.3333,0.45817,0.022516
7.5,0.46383,0.021028
7.6667,0.46933,0.019654
7.8333,0.4745,0.019705
8,0.479,0.020367
8.1667,0.48367,0.021713
8.3333,0.488,0.021735
8.5,0.49333,0.021556
8.6667,0.49667,0.021878
8.8333,0.50067,0.022818
9,0.50533,0.022686
9.1667,0.51033,0.02393
9.3333,0.51483,0.025286
9.5,0.51883,0.025926
9.6667,0.5235,0.025735
9.8333,0.52867,0.025874
10,0.53267,0.025866
10.167,0.53767,0.026598
10.333,0.542,0.027626
10.5,0.5465,0.027998
10.667,0.55117,0.028351
10.833,0.5555,0.028268
11,0.5605,0.028205
11.167,0.56517,0.02902
11.333,0.57033,0.02948
11.5,0.57583,0.030262
11.667,0.58033,0.030878
11.833,0.58467,0.031264
12,0.59,0.031667
12.167,0.59567,0.032758
12.333,0.602,0.034624
12.5,0.606,0.035648
12.667,0.61233,0.03639
12.833,0.61783,0.037129
13,0.62433,0.039098
13.167,0.63017,0.040538
13.333,0.63417,0.042202
13.5,0.6415,0.043821
13.667,0.64733,0.0455
13.833,0.654,0.048839
14,0.66067,0.051001
14.167,0.66817,0.053901
14.333,0.6735,0.055716
14.5,0.679,0.056875
14.667,0.684,0.057962
14.833,0.69033,0.059839
15,0.69533,0.061354
15.167,0.70133,0.063124
15.333,0.70583,0.064375
15.5,0.712,0.068132
15.667,0.71833,0.069704
15.833,0.7235,0.071355
16,0.72817,0.073341
16.167,0.73267,0.073818
16.333,0.7375,0.07545
16.5,0.74183,0.075867
16.667,0.7465,0.077925
16.833,0.7515,0.07947
17,0.75567,0.080181
17.167,0.75933,0.080825
17.333,0.76383,0.081945
17.5,0.76717,0.084327
17.667,0.76967,0.084566
17.833,0.77317,0.085084
18,0.77633,0.085568
18.167,0.77983,0.086474
18.333,0.782,0.087157
18.5,0.78567,0.086895
18.667,0.78783,0.08702
18.833,0.79133,0.087981
19,0.79417,0.088529
19.167,0.79633,0.089191
19.333,0.7985,0.088081
19.5,0.80033,0.088919
19.667,0.803,0.090348
19.833,0.80517,0.091628
20,0.80733,0.09203
20.167,0.80917,0.092083
20.333,0.8105,0.091093
20.5,0.81217,0.092164
20.667,0.81417,0.092467
20.833,0.81533,0.092932
21,0.817,0.093708
21.167,0.81867,0.094398
21.333,0.82083,0.095851
21.5,0.82233,0.095592
21.667,0.82333,0.095412
21.833,0.8255,0.094534
22,0.82567,0.095458
22.167,0.82667,0.095722
22.333,0.82867,0.09759
22.5,0.83067,0.09742
22.667,0.83167,0.096856
22.833,0.8325,0.097264
23,0.83283,0.097618
23.167,0.83283,0.097919
23.333,0.83283,0.098611
23.5,0.83367,0.099043
23.667,0.83383,0.099749
23.833,0.83533,0.099067
