t,OD600,ste
0,0.1,0.0040311
0.16667,0.10125,0.0012583
0.33333,0.1035,0.001291
0.5,0.1075,0.001291
0.66667,0.1135,0.001291
0.83333,0.12075,0.00095743
1,0.132,0.0011547
1.1667,0.1435,0.0020817
1.3333,0.15775,0.0022174
1.5,0.17375,0.0020616
1.6667,0.1925,0.001291
1.8333,0.20975,0.0025
2,0.23,0.0014142
2.1667,0.2515,0.001291
2.3333,0.27775,0.004717
2.5,0.30425,0.0061305
2.6667,0.3395,0.0083467
2.8333,0.36525,0.0055603
3,0.38825,0.010243
3.1667,0.3995,0.013102
3.3333,0.41075,0.012868
3.5,0.428,0.010296
3.6667,0.44725,0.007932
3.8333,0.4645,0.009
4,0.477,0.0084459
4.1667,0.48525,0.0076322
4.3333,0.491,0.007746
4.5,0.49675,0.0091059
4.6667,0.50175,0.0099791
4.8333,0.50575,0.0094648
5,0.5095,0.010661
5.1667,0.513,0.011106
5.3333,0.516,0.011916
5.5,0.51975,0.012312
5.6667,0.5225,0.012715
5.8333,0.5265,0.013178
6,0.52925,0.013913
6.1667,0.5325,0.013916
6.3333,0.536,0.014306
6.5,0.54,0.014765
6.6667,0.54375,0.015586
6.8333,0.548,0.01521
7,0.55125,0.01565
7.1667,0.55625,0.01565
7.3333,0.55975,0.016399
7.5,0.56425,0.01646
7.6667,0.5685,0.01601
7.8333,0.573,0.016411
8,0.5775,0.01702
8.1667,0.582,0.017263
8.3333,0.58625,0.018099
8.5,0.59125,0.018099
8.6667,0.597,0.017795
8.8333,0.60275,0.018264
9,0.60875,0.018373
9.1667,0.61475,0.018373
9.3333,0.62225,0.019068
9.5,0.62725,0.019103
9.6667,0.63525,0.018715
9.8333,0.64075,0.019873
10,0.648,0.020575
10.167,0.65325,0.020759
10.333,0.661,0.021602
10.5,0.67075,0.020255
10.667,0.67925,0.0205
10.833,0.68625,0.0205
11,0.69525,0.0245
11.167,0.70325,0.022559
11.333,0.708,0.023875
11.5,0.7155,0.025839
11.667,0.72375,0.02529
11.833,0.72975,0.024945
12,0.73575,0.026937
12.167,0.74225,0.027837
12.333,0.7475,0.027958
12.5,0.7535,0.028243
12.667,0.7585,0.029034
12.833,0.765,0.029473
13,0.77025,0.029971
13.167,0.774,0.0299
13.333,0.77975,0.030707
13.5,0.78425,0.030631
13.667,0.788,0.030166
13.833,0.79225,0.03133
14,0.79575,0.030401
14.167,0.79975,0.030977
14.333,0.8035,0.031984
14.5,0.8075,0.031512
14.667,0.80975,0.032408
14.833,0.8135,0.031943
15,0.817,0.032259
15.167,0.81975,0.03318
15.333,0.8225,0.03364
15.5,0.82375,0.033955
15.667,0.82475,0.03318
15.833,0.82625,0.035027
16,0.831,0.034419
16.167,0.8325,0.035029
16.333,0.834,0.035052
16.5,0.83525,0.036161
16.667,0.836,0.037094
16.833,0.838,0.037094
17,0.83925,0.037854
17.167,0.84075,0.03803
17.333,0.842,0.038497
17.5,0.84225,0.040011
17.667,0.844,0.040133
17.833,0.84475,0.041371
18,0.84475,0.041828
18.167,0.84475,0.0434
18.333,0.846,0.043413
18.5,0.8455,0.045288
18.667,0.845,0.04621
18.833,0.8455,0.04658
19,0.84525,0.047521
19.167,0.84425,0.047521
19.333,0.84275,0.047696
19.5,0.843,0.047958
19.667,0.8435,0.047683
19.833,0.843,0.048819
20,0.8435,0.048343
20.167,0.843,0.048076
20.333,0.844,0.048159
20.5,0.84325,0.048836
20.667,0.8435,0.049602
20.833,0.843,0.049119
21,0.8425,0.048638
21.167,0.8425,0.048946
21.333,0.843,0.048778
21.5,0.843,0.049003
21.667,0.8425,0.048515
21.833,0.843,0.049003
22,0.84275,0.049298
22.167,0.842,0.049003
22.333,0.84125,0.04946
22.5,0.84075,0.049628
22.667,0.84025,0.04946
22.833,0.84025,0.04946
23,0.8395,0.05015
23.167,0.83925,0.049789
23.333,0.83875,0.049949
23.5,0.83775,0.049949
23.667,0.83775,0.050282
23.833,0.83675,0.050606
