t,OD600,ste
0,0.0935,0.00057735
0.16667,0.0935,0.00057735
0.33333,0.09425,0.00095743
0.5,0.095,0.0008165
0.66667,0.096,0.0008165
0.83333,0.09775,0.00095743
1,0.10025,0.00095743
1.1667,0.10425,0.0015
1.3333,0.11,0.0018257
1.5,0.11825,0.0022174
1.6667,0.12975,0.0025
1.8333,0.1425,0.0019149
2,0.15525,0.0022174
2.1667,0.17225,0.003304
2.3333,0.193,0.003559
2.5,0.2135,0.0036968
2.6667,0.23575,0.0049244
2.8333,0.26025,0.005909
3,0.27775,0.0049917
3.1667,0.288,0.0055976
3.3333,0.29725,0.0060208
3.5,0.306,0.0068799
3.6667,0.31525,0.0068496
3.8333,0.32625,0.0070415
4,0.33675,0.0068496
4.1667,0.3465,0.006455
4.3333,0.355,0.0060553
4.5,0.36275,0.005252
4.6667,0.371,0.0056569
4.8333,0.3785,0.0061373
5,0.3855,0.0068557
5.1667,0.39325,0.007932
5.3333,0.4,0.008756
5.5,0.4085,0.011
5.6667,0.41775,0.014033
5.8333,0.42675,0.017595
6,0.43775,0.017231
6.1667,0.44875,0.017328
6.3333,0.45875,0.016581
6.5,0.469,0.015078
6.6667,0.47825,0.014056
6.8333,0.487,0.012936
7,0.4955,0.012767
7.1667,0.5035,0.011676
7.3333,0.51075,0.010996
7.5,0.5185,0.010279
7.6667,0.5255,0.010661
7.8333,0.532,0.010677
8,0.5395,0.010878
8.1667,0.54575,0.011383
8.3333,0.55225,0.011673
8.5,0.559,0.011195
8.6667,0.56525,0.011815
8.8333,0.5725,0.012124
9,0.5785,0.012793
9.1667,0.585,0.012675
9.3333,0.593,0.013216
9.5,0.59975,0.014104
9.6667,0.60625,0.014151
9.8333,0.61325,0.01466
10,0.6195,0.015
10.167,0.626,0.015979
10.333,0.63325,0.016317
10.5,0.63975,0.017037
10.667,0.6465,0.017234
10.833,0.65275,0.018154
11,0.659,0.019079
11.167,0.6655,0.020339
11.333,0.67175,0.020516
11.5,0.678,0.021432
11.667,0.68425,0.022247
11.833,0.69025,0.023229
12,0.6955,0.024145
12.167,0.70125,0.024595
12.333,0.707,0.02539
12.5,0.713,0.025936
12.667,0.71825,0.026763
12.833,0.72375,0.02733
13,0.72925,0.028441
13.167,0.734,0.029462
13.333,0.73925,0.030837
13.5,0.74425,0.031511
13.667,0.7495,0.032889
13.833,0.75475,0.033679
14,0.75875,0.033984
14.167,0.76325,0.034999
14.333,0.768,0.035898
14.5,0.77325,0.037366
14.667,0.77825,0.038047
14.833,0.78375,0.041266
15,0.78925,0.041828
15.167,0.794,0.042747
15.333,0.79825,0.044079
15.5,0.803,0.046231
15.667,0.8075,0.046551
15.833,0.8125,0.048363
16,0.8165,0.049048
16.167,0.82125,0.049942
16.333,0.82575,0.052201
16.5,0.83,0.052542
16.667,0.8345,0.053557
16.833,0.83825,0.05503
17,0.84325,0.05503
17.167,0.84675,0.056169
17.333,0.85125,0.057198
17.5,0.85475,0.057881
17.667,0.85825,0.058449
17.833,0.8625,0.05936
18,0.86625,0.059707
18.167,0.87075,0.060736
18.333,0.87375,0.061408
18.5,0.87775,0.062543
18.667,0.88075,0.063131
18.833,0.8845,0.064023
19,0.888,0.064591
19.167,0.89075,0.064938
19.333,0.89325,0.065972
19.5,0.89625,0.06664
19.667,0.9,0.066988
19.833,0.903,0.068122
20,0.906,0.068794
20.167,0.90825,0.069038
20.333,0.911,0.069929
20.5,0.91375,0.070741
20.667,0.91575,0.071411
20.833,0.9185,0.072303
21,0.9205,0.072303
21.167,0.923,0.07287
21.333,0.92475,0.073763
21.5,0.9265,0.074451
21.667,0.92825,0.074795
21.833,0.92975,0.074897
22,0.9315,0.075209
22.167,0.9335,0.075791
22.333,0.9345,0.076466
22.5,0.93625,0.076687
22.667,0.93775,0.076796
22.833,0.93875,0.077379
23,0.94025,0.077272
23.167,0.941,0.077619
23.333,0.9425,0.078186
23.5,0.94325,0.077946
23.667,0.94375,0.077839
23.833,0.94475,0.078513
