t,OD600,ste
0,0.099833,0.0019408
0.16667,0.10067,0.0021602
0.33333,0.1025,0.002881
0.5,0.10533,0.0039328
0.66667,0.109,0.0046904
0.83333,0.1145,0.0060581
1,0.12317,0.0090646
1.1667,0.134,0.011207
1.3333,0.14583,0.012968
1.5,0.16033,0.014081
1.6667,0.17683,0.0164
1.8333,0.19683,0.020173
2,0.21933,0.02225
2.1667,0.24267,0.023252
2.3333,0.26417,0.02264
2.5,0.27983,0.016327
2.6667,0.29617,0.012205
2.8333,0.30917,0.014538
3,0.322,0.014629
3.1667,0.336,0.014913
3.3333,0.349,0.014656
3.5,0.3635,0.016574
3.6667,0.37567,0.01775
3.8333,0.3855,0.018295
4,0.39133,0.01947
4.1667,0.39633,0.020569
4.3333,0.401,0.021726
4.5,0.40567,0.022006
4.6667,0.41017,0.020292
4.8333,0.415,0.016649
5,0.42067,0.014665
5.1667,0.4275,0.013982
5.3333,0.43417,0.012968
5.5,0.4445,0.01511
5.6667,0.4555,0.018008
5.8333,0.4695,0.01545
6,0.48217,0.011923
6.1667,0.49333,0.0095847
6.3333,0.50417,0.0096833
6.5,0.51517,0.0086814
6.6667,0.52433,0.009288
6.8333,0.53317,0.0099079
7,0.54233,0.0097707
7.1667,0.551,0.0111
7.3333,0.558,0.01173
7.5,0.56483,0.012734
7.6667,0.57233,0.013261
7.8333,0.57867,0.013995
8,0.5855,0.015083
8.1667,0.59167,0.016096
8.3333,0.5975,0.016429
8.5,0.6045,0.017097
8.6667,0.61133,0.018403
8.8333,0.61717,0.019302
9,0.62333,0.019387
9.1667,0.62867,0.020906
9.3333,0.634,0.021808
9.5,0.64033,0.022349
9.6667,0.6455,0.022528
9.8333,0.6515,0.022687
10,0.65683,0.023043
10.167,0.662,0.023272
10.333,0.66817,0.024078
10.5,0.67317,0.025238
10.667,0.67867,0.024961
10.833,0.68417,0.024734
11,0.68917,0.026506
11.167,0.69433,0.026934
11.333,0.6995,0.027603
11.5,0.70483,0.027881
11.667,0.71,0.029079
11.833,0.715,0.029516
12,0.72017,0.029762
12.167,0.72517,0.030433
12.333,0.7295,0.031393
12.5,0.73483,0.031796
12.667,0.73933,0.031709
12.833,0.74433,0.031985
13,0.74833,0.03294
13.167,0.75333,0.033116
13.333,0.75817,0.034324
13.5,0.762,0.035282
13.667,0.7665,0.035484
13.833,0.7715,0.036308
14,0.77567,0.036838
14.167,0.77983,0.036945
14.333,0.78517,0.037237
14.5,0.7895,0.038292
14.667,0.7925,0.038847
14.833,0.79683,0.039746
15,0.80033,0.040018
15.167,0.80517,0.04075
15.333,0.80933,0.040663
15.5,0.81433,0.041442
15.667,0.81783,0.042405
15.833,0.8215,0.042562
16,0.82583,0.042424
16.167,0.82917,0.042902
16.333,0.8335,0.043418
16.5,0.83683,0.043232
16.667,0.841,0.04429
16.833,0.844,0.044587
17,0.84783,0.044808
17.167,0.85183,0.044871
17.333,0.85533,0.044836
17.5,0.859,0.045042
17.667,0.86267,0.045719
17.833,0.86633,0.046094
18,0.8695,0.046181
18.167,0.8725,0.046328
18.333,0.87583,0.046327
18.5,0.879,0.04657
18.667,0.88267,0.046504
18.833,0.885,0.046725
19,0.8885,0.046771
19.167,0.89117,0.04697
19.333,0.89533,0.047357
19.5,0.89733,0.047081
19.667,0.9005,0.047298
19.833,0.9035,0.047306
20,0.907,0.047053
