t,OD600,ste
0,0.1005,0.015667
0.16667,0.10133,0.0017512
0.33333,0.10467,0.0019664
0.5,0.11017,0.0025626
0.66667,0.11817,0.0035449
0.83333,0.12833,0.0045019
1,0.13983,0.0049565
1.1667,0.1535,0.0061563
1.3333,0.17117,0.007414
1.5,0.19167,0.010093
1.6667,0.21133,0.012275
1.8333,0.234,0.017239
2,0.26017,0.021986
2.1667,0.29117,0.024975
2.3333,0.32467,0.027267
2.5,0.3555,0.029002
2.6667,0.38567,0.022827
2.8333,0.39783,0.021028
3,0.40533,0.020539
3.1667,0.41333,0.021134
3.3333,0.42233,0.022169
3.5,0.43633,0.020491
3.6667,0.44967,0.017212
3.8333,0.45867,0.014067
4,0.46717,0.011215
4.1667,0.47533,0.0090921
4.3333,0.484,0.0074027
4.5,0.49283,0.0064936
4.6667,0.50233,0.0063456
4.8333,0.51317,0.0078846
5,0.5255,0.0098742
5.1667,0.539,0.012633
5.3333,0.55333,0.014152
5.5,0.56917,0.01603
5.6667,0.58383,0.019518
5.8333,0.60233,0.021482
6,0.621,0.0219
6.1667,0.64,0.024924
6.3333,0.6575,0.026418
6.5,0.6745,0.028304
6.6667,0.69233,0.028331
6.8333,0.70967,0.029187
7,0.726,0.029441
7.1667,0.74067,0.029663
7.3333,0.757,0.030548
7.5,0.77183,0.031758
7.6667,0.7885,0.030969
7.8333,0.80183,0.031752
8,0.81583,0.032566
8.1667,0.82883,0.031263
8.3333,0.8425,0.030684
8.5,0.85467,0.03093
8.6667,0.866,0.031724
8.8333,0.87733,0.03102
9,0.889,0.030997
9.1667,0.89883,0.031384
9.3333,0.91,0.029031
9.5,0.91983,0.027982
9.6667,0.92867,0.026979
9.8333,0.93683,0.027331
10,0.94417,0.027309
10.167,0.95133,0.025997
10.333,0.9595,0.025579
10.5,0.96683,0.024564
10.667,0.97367,0.024287
10.833,0.97867,0.023905
11,0.98433,0.024172
11.167,0.99083,0.023456
11.333,0.99517,0.022798
11.5,0.999,0.021964
11.667,1.0033,0.021787
11.833,1.0067,0.022295
12,1.0102,0.022569
12.167,1.0138,0.022596
12.333,1.0163,0.022214
12.5,1.0192,0.022605
12.667,1.0223,0.021323
12.833,1.0252,0.021264
13,1.0273,0.02104
13.167,1.0283,0.020724
13.333,1.0308,0.022158
13.5,1.0325,0.02308
13.667,1.0353,0.0235
13.833,1.0367,0.024196
14,1.0388,0.02431
14.167,1.0413,0.023721
14.333,1.0438,0.023609
14.5,1.0462,0.023267
14.667,1.0478,0.023025
14.833,1.0503,0.02333
15,1.0523,0.023355
15.167,1.0548,0.023387
15.333,1.0567,0.023602
15.5,1.058,0.023782
15.667,1.0592,0.024334
15.833,1.0613,0.024953
16,1.0648,0.024555
16.167,1.0663,0.024476
16.333,1.0682,0.025206
16.5,1.0698,0.024645
16.667,1.0713,0.024687
16.833,1.0732,0.025577
17,1.0748,0.025159
17.167,1.0767,0.025025
17.333,1.0788,0.024839
17.5,1.0798,0.024991
17.667,1.0822,0.025039
17.833,1.0843,0.025367
18,1.0857,0.026051
18.167,1.086,0.026608
18.333,1.0883,0.026143
18.5,1.0898,0.025585
18.667,1.0903,0.025359
18.833,1.092,0.026031
19,1.0928,0.026559
19.167,1.0928,0.027228
19.333,1.0935,0.027179
19.5,1.0947,0.027544
19.667,1.0958,0.02796
19.833,1.0963,0.028211
20,1.0975,0.028417
20.167,1.0987,0.028682
20.333,1.0993,0.028598
20.5,1.1,0.028524
20.667,1.1007,0.028289
20.833,1.1012,0.028951
21,1.1017,0.029173
21.167,1.1025,0.029002
21.333,1.1038,0.029171
21.5,1.1042,0.029424
21.667,1.1038,0.029485
21.833,1.1057,0.029891
22,1.1052,0.030354
22.167,1.105,0.030835
22.333,1.1062,0.031549
22.5,1.1058,0.030961
22.667,1.1063,0.031239
22.833,1.1065,0.031552
23,1.1072,0.031663
23.167,1.1072,0.031308
23.333,1.1075,0.032229
23.5,1.1075,0.032229
23.667,1.108,0.032299
23.833,1.1075,0.033141
