t,OD600,ste
0,0.1,0.018684
0.16667,0.11583,0.011856
0.33333,0.12417,0.014811
0.5,0.13367,0.017002
0.66667,0.14567,0.019012
0.83333,0.161,0.023478
1,0.18,0.029353
1.1667,0.20217,0.03426
1.3333,0.22583,0.037573
1.5,0.25083,0.039408
1.6667,0.27117,0.035594
1.8333,0.289,0.028573
2,0.30517,0.022534
2.1667,0.31733,0.022277
2.3333,0.32867,0.022051
2.5,0.34217,0.022167
2.6667,0.353,0.021476
2.8333,0.3625,0.020047
3,0.37,0.01684
3.1667,0.37567,0.013924
3.3333,0.38467,0.013186
3.5,0.39233,0.012832
3.6667,0.40067,0.012785
3.8333,0.4075,0.011572
4,0.41533,0.011343
4.1667,0.42283,0.012156
4.3333,0.431,0.013236
4.5,0.4375,0.012227
4.6667,0.44383,0.012222
4.8333,0.44967,0.012209
5,0.45617,0.012416
5.1667,0.46283,0.014414
5.3333,0.469,0.015323
5.5,0.47617,0.014689
5.6667,0.48367,0.014404
5.8333,0.49067,0.014679
6,0.498,0.015153
6.1667,0.50417,0.014905
6.3333,0.51083,0.014851
6.5,0.51683,0.015171
6.6667,0.52317,0.014634
6.8333,0.52967,0.015526
7,0.53617,0.015892
7.1667,0.5435,0.015719
7.3333,0.54983,0.01551
7.5,0.55733,0.015845
7.6667,0.564,0.015925
7.8333,0.57067,0.015345
8,0.57717,0.014932
8.1667,0.58467,0.014542
8.3333,0.59117,0.014176
8.5,0.5975,0.013635
8.6667,0.604,0.013885
8.8333,0.61,0.013176
9,0.6165,0.01274
9.1667,0.6225,0.013004
9.3333,0.6285,0.012629
9.5,0.63467,0.012323
9.6667,0.6405,0.012486
9.8333,0.64683,0.012189
10,0.6525,0.011709
10.167,0.65867,0.011147
10.333,0.66467,0.011147
10.5,0.671,0.010696
10.667,0.67667,0.010386
10.833,0.68233,0.0096264
11,0.68783,0.0093684
11.167,0.694,0.0089219
11.333,0.7,0.0085323
11.5,0.70467,0.0078655
11.667,0.70967,0.0080664
11.833,0.71567,0.0078909
12,0.72033,0.0075807
12.167,0.725,0.0074833
12.333,0.73017,0.0074677
12.5,0.73467,0.0080416
12.667,0.73933,0.0079415
12.833,0.74433,0.0082865
13,0.74933,0.0082381
13.167,0.75383,0.0082321
13.333,0.75817,0.0085186
13.5,0.76283,0.0090203
13.667,0.767,0.0091433
13.833,0.77133,0.0095847
14,0.77533,0.0099933
14.167,0.78,0.010658
14.333,0.78383,0.010704
14.5,0.78817,0.011496
14.667,0.79233,0.011911
14.833,0.7965,0.012276
15,0.80033,0.012356
15.167,0.804,0.01241
15.333,0.80783,0.012859
15.5,0.81133,0.013471
15.667,0.81483,0.013688
15.833,0.81833,0.014052
16,0.8215,0.01495
16.167,0.82467,0.015501
16.333,0.82783,0.015892
16.5,0.831,0.015824
16.667,0.83433,0.016597
16.833,0.83683,0.017314
17,0.83983,0.017781
17.167,0.84233,0.017546
17.333,0.8445,0.018458
17.5,0.84733,0.019253
17.667,0.85,0.019708
17.833,0.85217,0.019641
18,0.85433,0.020216
18.167,0.856,0.020833
18.333,0.8585,0.021088
18.5,0.861,0.021817
18.667,0.8625,0.022554
18.833,0.86467,0.022232
19,0.8665,0.022457
19.167,0.86817,0.023129
19.333,0.87,0.02405
19.5,0.87183,0.025214
19.667,0.873,0.025163
19.833,0.87433,0.025477
20,0.87567,0.025882
20.167,0.87717,0.026694
20.333,0.87833,0.026696
20.5,0.87917,0.027644
20.667,0.88083,0.028308
20.833,0.88067,0.028946
21,0.8815,0.029453
21.167,0.88267,0.030474
21.333,0.88333,0.03176
21.5,0.884,0.031477
21.667,0.88933,0.028367
21.833,0.89317,0.028195
22,0.89433,0.028668
22.167,0.8935,0.028711
22.333,0.88833,0.03266
22.5,0.88833,0.03308
22.667,0.88833,0.033756
22.833,0.88917,0.034301
23,0.88933,0.034238
23.167,0.88917,0.033808
23.333,0.889,0.034496
23.5,0.88933,0.034372
23.667,0.88967,0.034506
23.833,0.88983,0.035045
