t,OD600,ste
0,0.095167,0.0036009
0.16667,0.096167,0.0040702
0.33333,0.0975,0.00501
0.5,0.1005,0.0061563
0.66667,0.1045,0.0082158
0.83333,0.11017,0.011053
1,0.118,0.014408
1.1667,0.12583,0.017151
1.3333,0.13567,0.019896
1.5,0.14817,0.022825
1.6667,0.16483,0.026686
1.8333,0.18267,0.031532
2,0.20033,0.036009
2.1667,0.2195,0.038558
2.3333,0.24233,0.041157
2.5,0.2645,0.042027
2.6667,0.2895,0.045302
2.8333,0.31517,0.047722
3,0.33933,0.047677
3.1667,0.3595,0.043127
3.3333,0.3765,0.037426
3.5,0.39167,0.029152
3.6667,0.40067,0.022536
3.8333,0.40917,0.018389
4,0.4165,0.01757
4.1667,0.42233,0.018294
4.3333,0.42783,0.020488
4.5,0.43467,0.024459
4.6667,0.44133,0.026875
4.8333,0.448,0.030731
5,0.454,0.034403
5.1667,0.4615,0.039894
5.3333,0.46917,0.046727
5.5,0.47567,0.051294
5.6667,0.4815,0.054935
5.8333,0.48717,0.059247
6,0.49483,0.064157
6.1667,0.503,0.071297
6.3333,0.51033,0.075991
6.5,0.51783,0.081781
6.6667,0.524,0.086656
6.8333,0.5315,0.092455
7,0.53683,0.09525
7.1667,0.54317,0.098451
7.3333,0.55,0.10243
7.5,0.559,0.1086
7.6667,0.565,0.11208
7.8333,0.57117,0.11431
8,0.57767,0.11777
8.1667,0.58417,0.12043
8.3333,0.59167,0.12546
8.5,0.59733,0.12884
8.6667,0.60483,0.13115
8.8333,0.611,0.13411
9,0.6165,0.13607
9.1667,0.62283,0.13812
9.3333,0.62883,0.13931
9.5,0.6355,0.1407
9.6667,0.64017,0.14136
9.8333,0.64567,0.14138
10,0.6515,0.14113
10.167,0.65583,0.1398
10.333,0.66183,0.14021
10.5,0.66733,0.13948
10.667,0.672,0.13984
10.833,0.67833,0.1396
11,0.68367,0.13895
11.167,0.68817,0.1375
11.333,0.69217,0.13632
11.5,0.69667,0.13438
11.667,0.70183,0.13288
11.833,0.70767,0.13165
12,0.71133,0.13011
12.167,0.71433,0.12785
12.333,0.72,0.12628
12.5,0.72517,0.12515
12.667,0.72817,0.12333
12.833,0.73217,0.12064
13,0.73583,0.11989
13.167,0.73983,0.11728
13.333,0.74383,0.11688
13.5,0.74767,0.11622
13.667,0.75217,0.11433
13.833,0.756,0.11225
14,0.75833,0.11002
14.167,0.76133,0.10941
14.333,0.76533,0.10744
14.5,0.76833,0.10602
14.667,0.77067,0.10545
14.833,0.77317,0.1021
15,0.774,0.10096
15.167,0.77617,0.09955
15.333,0.778,0.096873
15.5,0.77967,0.095047
15.667,0.782,0.093449
15.833,0.786,0.090755
16,0.78683,0.089676
16.167,0.78933,0.088507
16.333,0.791,0.087409
16.5,0.79217,0.086027
16.667,0.79267,0.085285
16.833,0.7925,0.084313
17,0.79483,0.082572
17.167,0.79617,0.080663
17.333,0.79667,0.079165
17.5,0.79733,0.078102
17.667,0.79833,0.076839
17.833,0.79917,0.076476
18,0.801,0.076326
18.167,0.8005,0.076123
18.333,0.80183,0.074526
18.5,0.802,0.073699
18.667,0.80167,0.073129
18.833,0.80183,0.073024
19,0.802,0.072609
19.167,0.803,0.071027
19.333,0.80367,0.069226
19.5,0.804,0.068449
19.667,0.80317,0.068875
19.833,0.80467,0.067319
20,0.8045,0.066545
20.167,0.80417,0.066841
20.333,0.80433,0.066452
20.5,0.80417,0.065432
20.667,0.80383,0.065774
20.833,0.80283,0.065233
21,0.80267,0.065405
21.167,0.80283,0.065469
21.333,0.8025,0.064859
21.5,0.80217,0.064843
21.667,0.80067,0.065249
21.833,0.80017,0.065386
22,0.79983,0.065009
22.167,0.79983,0.064633
22.333,0.8005,0.063579
22.5,0.801,0.062868
22.667,0.80033,0.063843
22.833,0.80133,0.063074
23,0.80067,0.062829
23.167,0.7995,0.062902
23.333,0.8,0.062418
23.5,0.79883,0.062736
23.667,0.79817,0.063842
23.833,0.798,0.06253
