t,OD600,ste
0,0.0925,0.0022583
0.16667,0.093333,0.0023381
0.33333,0.094,0.0020976
0.5,0.0955,0.0023452
0.66667,0.097667,0.0023381
0.83333,0.101,0.0026077
1,0.10567,0.0028048
1.1667,0.11267,0.0037238
1.3333,0.12183,0.004916
1.5,0.13517,0.0064005
1.6667,0.1475,0.0066558
1.8333,0.16367,0.0080416
2,0.18417,0.010128
2.1667,0.20983,0.010778
2.3333,0.23517,0.01189
2.5,0.26383,0.012465
2.6667,0.28767,0.0091797
2.8333,0.304,0.005831
3,0.3195,0.0071204
3.1667,0.33433,0.0047188
3.3333,0.34867,0.0040825
3.5,0.3645,0.0062849
3.6667,0.378,0.005933
3.8333,0.389,0.0060332
4,0.40067,0.0083347
4.1667,0.4135,0.011912
4.3333,0.427,0.017123
4.5,0.438,0.020871
4.6667,0.44567,0.019253
4.8333,0.45433,0.020935
5,0.46067,0.024114
5.1667,0.46417,0.024285
5.3333,0.4725,0.023535
5.5,0.4865,0.020206
5.6667,0.499,0.018687
5.8333,0.51317,0.01926
6,0.52517,0.017475
6.1667,0.53583,0.017023
6.3333,0.5475,0.017997
6.5,0.55833,0.018511
6.6667,0.56883,0.019954
6.8333,0.57817,0.018192
7,0.58783,0.018713
7.1667,0.59667,0.01949
7.3333,0.607,0.022
7.5,0.6145,0.019827
7.6667,0.62317,0.022578
7.8333,0.63183,0.022658
8,0.63983,0.022534
8.1667,0.64817,0.021637
8.3333,0.65633,0.022765
8.5,0.66583,0.025175
8.6667,0.67433,0.026793
8.8333,0.68217,0.025841
9,0.691,0.027799
9.1667,0.69917,0.029281
9.3333,0.70733,0.029494
9.5,0.71517,0.030341
9.6667,0.724,0.030887
9.8333,0.73217,0.030812
10,0.7395,0.031239
10.167,0.74767,0.032752
10.333,0.75617,0.034551
10.5,0.76283,0.032548
10.667,0.77133,0.03288
10.833,0.77933,0.033206
11,0.78733,0.036231
11.167,0.79483,0.036329
11.333,0.80217,0.036668
11.5,0.81033,0.03673
11.667,0.81667,0.036784
11.833,0.82417,0.037712
12,0.8315,0.038433
12.167,0.83867,0.039868
12.333,0.84567,0.04055
12.5,0.8525,0.040412
12.667,0.8595,0.041176
12.833,0.866,0.041231
13,0.87267,0.042481
13.167,0.87867,0.042448
13.333,0.88583,0.043041
13.5,0.89167,0.042679
13.667,0.89783,0.043241
13.833,0.90383,0.04392
14,0.91033,0.044144
14.167,0.9165,0.04451
14.333,0.9225,0.044823
14.5,0.928,0.045095
14.667,0.9335,0.04586
14.833,0.93933,0.045824
15,0.94433,0.046207
15.167,0.95017,0.046482
15.333,0.9545,0.046505
15.5,0.96067,0.046556
15.667,0.96533,0.046142
15.833,0.97017,0.047131
16,0.975,0.046497
16.167,0.98,0.047569
16.333,0.98483,0.047529
16.5,0.98983,0.047394
16.667,0.99417,0.047692
16.833,0.99883,0.047764
17,1.0037,0.047961
17.167,1.007,0.048129
17.333,1.0108,0.048627
17.5,1.0152,0.048816
17.667,1.0188,0.048643
17.833,1.0227,0.048277
18,1.0257,0.048393
18.167,1.0293,0.048298
18.333,1.0328,0.048384
18.5,1.0358,0.048709
18.667,1.0392,0.048799
18.833,1.0425,0.048776
19,1.046,0.049181
19.167,1.049,0.049181
19.333,1.0513,0.048976
19.5,1.054,0.04925
19.667,1.0568,0.049333
19.833,1.059,0.049759
20,1.0617,0.049346
20.167,1.0638,0.049402
20.333,1.0668,0.049333
20.5,1.069,0.049703
20.667,1.0715,0.049666
20.833,1.0727,0.04985
21,1.0738,0.04939
21.167,1.0763,0.050246
21.333,1.0775,0.050047
21.5,1.0793,0.049678
21.667,1.0813,0.049298
21.833,1.0825,0.049614
22,1.0845,0.04944
22.167,1.0847,0.049915
22.333,1.0858,0.049849
22.5,1.087,0.049788
22.667,1.088,0.04986
22.833,1.0887,0.04931
23,1.09,0.049287
23.167,1.0915,0.049083
23.333,1.0923,0.049143
23.5,1.0927,0.04898
23.667,1.0942,0.049175
23.833,1.0947,0.048644
