t,OD600,ste
0,0.09375,0.00095743
0.16667,0.094,0.0011547
0.33333,0.094,0.0014142
0.5,0.09475,0.00095743
0.66667,0.0955,0.001291
0.83333,0.097,0.0011547
1,0.0985,0.001291
1.1667,0.1015,0.001291
1.3333,0.1055,0.0019149
1.5,0.1115,0.0023805
1.6667,0.1195,0.0023805
1.8333,0.13125,0.003594
2,0.145,0.0033665
2.1667,0.159,0.004
2.3333,0.17725,0.0048563
2.5,0.199,0.005416
2.6667,0.22025,0.0048563
2.8333,0.244,0.0060553
3,0.269,0.0053541
3.1667,0.279,0.0021602
3.3333,0.292,0.0029439
3.5,0.3055,0.0040415
3.6667,0.31825,0.003594
3.8333,0.3305,0.0037859
4,0.34275,0.003594
4.1667,0.354,0.0018257
4.3333,0.36375,0.004272
4.5,0.3735,0.0046547
4.6667,0.38325,0.0043493
4.8333,0.39275,0.0049917
5,0.40225,0.0066521
5.1667,0.413,0.0075277
5.3333,0.42275,0.007932
5.5,0.43425,0.0082614
5.6667,0.444,0.0089815
5.8333,0.455,0.0096264
6,0.4665,0.0096782
6.1667,0.47675,0.010689
6.3333,0.48725,0.011471
6.5,0.49675,0.010966
6.6667,0.50675,0.01242
6.8333,0.51725,0.011413
7,0.528,0.010614
7.1667,0.53775,0.011117
7.3333,0.547,0.011225
7.5,0.556,0.010863
7.6667,0.56375,0.010782
7.8333,0.57275,0.010532
8,0.5805,0.010247
8.1667,0.5885,0.010247
8.3333,0.596,0.010231
8.5,0.6035,0.010247
8.6667,0.6115,0.011358
8.8333,0.6195,0.011269
9,0.628,0.012463
9.1667,0.63525,0.011871
9.3333,0.6425,0.013229
9.5,0.65025,0.012945
9.6667,0.6575,0.014341
9.8333,0.66525,0.015174
10,0.672,0.0149
10.167,0.67975,0.015735
10.333,0.68625,0.0165
10.5,0.69375,0.017519
10.667,0.701,0.018457
10.833,0.708,0.018457
11,0.7155,0.019018
11.167,0.72175,0.019311
11.333,0.728,0.020067
11.5,0.73525,0.020337
11.667,0.742,0.020704
11.833,0.74925,0.020998
12,0.755,0.021863
12.167,0.76175,0.023358
12.333,0.76825,0.023922
12.5,0.774,0.023622
12.667,0.78075,0.024486
12.833,0.7865,0.025357
13,0.7925,0.025826
13.167,0.79875,0.026196
13.333,0.804,0.026882
13.5,0.80975,0.027269
13.667,0.81575,0.027933
13.833,0.8205,0.027622
14,0.82625,0.0285
14.167,0.83175,0.029545
14.333,0.8365,0.029286
14.5,0.842,0.0292
14.667,0.84725,0.030004
14.833,0.8515,0.029771
15,0.856,0.030342
15.167,0.8605,0.030914
15.333,0.86475,0.031085
15.5,0.87,0.032031
15.667,0.8745,0.032604
15.833,0.8775,0.032563
16,0.88175,0.032837
16.167,0.88675,0.03351
16.333,0.89,0.03438
16.5,0.894,0.03438
16.667,0.898,0.034881
16.833,0.90125,0.03579
17,0.90525,0.036317
17.167,0.90875,0.036363
17.333,0.91225,0.036936
17.5,0.916,0.037274
17.667,0.9185,0.037332
17.833,0.922,0.037283
18,0.9255,0.037242
18.167,0.92875,0.037518
18.333,0.932,0.037184
18.5,0.9345,0.037242
18.667,0.9375,0.037242
18.833,0.941,0.03731
19,0.9435,0.037278
19.167,0.94625,0.03758
19.333,0.94875,0.038152
19.5,0.951,0.037815
19.667,0.95325,0.038117
19.833,0.95625,0.038664
20,0.9575,0.038423
20.167,0.96025,0.038759
20.333,0.96225,0.038759
20.5,0.9655,0.040344
20.667,0.9665,0.038579
20.833,0.968,0.038609
21,0.97,0.039149
21.167,0.9715,0.039128
21.333,0.97275,0.038793
21.5,0.974,0.039115
21.667,0.976,0.0392
21.833,0.978,0.0392
22,0.9795,0.039686
22.167,0.98,0.039774
22.333,0.98125,0.040103
22.5,0.982,0.04034
22.667,0.98325,0.040103
22.833,0.9835,0.040435
23,0.985,0.040439
23.167,0.98575,0.040672
23.333,0.987,0.041004
23.5,0.9875,0.041008
23.667,0.9885,0.041008
23.833,0.98875,0.041347
