t,OD600,ste
0,0.096,0.0027568
0.16667,0.0965,0.0032094
0.33333,0.098167,0.0037103
0.5,0.1005,0.0047223
0.66667,0.10333,0.0061536
0.83333,0.10833,0.0085713
1,0.114,0.011662
1.1667,0.121,0.015323
1.3333,0.12983,0.019094
1.5,0.1395,0.023914
1.6667,0.15217,0.029075
1.8333,0.16783,0.035097
2,0.18567,0.0428
2.1667,0.207,0.052665
2.3333,0.229,0.061913
2.5,0.2525,0.069982
2.6667,0.2765,0.073907
2.8333,0.29767,0.075275
3,0.31833,0.073252
3.1667,0.33867,0.069448
3.3333,0.35483,0.064257
3.5,0.37033,0.056818
3.6667,0.38533,0.046033
3.8333,0.40067,0.035263
4,0.4115,0.032216
4.1667,0.4195,0.030612
4.3333,0.42617,0.029417
4.5,0.43317,0.029607
4.6667,0.4385,0.029392
4.8333,0.44367,0.029797
5,0.44883,0.030974
5.1667,0.456,0.02996
5.3333,0.4635,0.028091
5.5,0.471,0.026176
5.6667,0.47767,0.023347
5.8333,0.484,0.021863
6,0.49133,0.020944
6.1667,0.49717,0.019743
6.3333,0.50267,0.018854
6.5,0.508,0.018265
6.6667,0.51333,0.017784
6.8333,0.51867,0.016717
7,0.52317,0.016167
7.1667,0.5285,0.015859
7.3333,0.53317,0.016364
7.5,0.537,0.016601
7.6667,0.54033,0.016765
7.8333,0.5455,0.016416
8,0.54983,0.016266
8.1667,0.55383,0.016546
8.3333,0.5585,0.017683
8.5,0.56317,0.01828
8.6667,0.56717,0.018302
8.8333,0.572,0.01911
9,0.577,0.020756
9.1667,0.5815,0.022278
9.3333,0.58633,0.023687
9.5,0.59133,0.026703
9.6667,0.59683,0.027917
9.8333,0.602,0.030371
10,0.60733,0.030898
10.167,0.61217,0.033582
10.333,0.6175,0.035286
10.5,0.623,0.038047
10.667,0.62717,0.039463
10.833,0.6335,0.044044
11,0.6385,0.045465
11.167,0.644,0.048195
11.333,0.649,0.050896
11.5,0.65383,0.053656
11.667,0.65883,0.055962
11.833,0.663,0.057352
12,0.6675,0.059537
12.167,0.67317,0.062876
12.333,0.678,0.064786
12.5,0.68133,0.06592
12.667,0.68583,0.068116
12.833,0.69033,0.069359
13,0.69517,0.072948
13.167,0.6995,0.075051
13.333,0.70483,0.077603
13.5,0.709,0.078641
13.667,0.71367,0.08161
13.833,0.71767,0.082138
14,0.72133,0.085495
14.167,0.72483,0.087018
14.333,0.72717,0.087126
14.5,0.73017,0.088452
14.667,0.734,0.090218
14.833,0.73717,0.091635
15,0.7395,0.091677
15.167,0.74217,0.092836
15.333,0.74533,0.093938
15.5,0.74833,0.095686
15.667,0.75167,0.097013
15.833,0.75383,0.097385
16,0.75683,0.098534
16.167,0.76,0.099316
16.333,0.7625,0.099291
16.5,0.7655,0.10105
16.667,0.76783,0.10127
16.833,0.77067,0.10246
17,0.77233,0.10306
17.167,0.775,0.10385
17.333,0.77633,0.10485
17.5,0.778,0.1039
17.667,0.78,0.1034
17.833,0.78083,0.10462
18,0.78233,0.10381
18.167,0.78417,0.10277
18.333,0.785,0.10208
18.5,0.78633,0.10175
18.667,0.78717,0.1019
18.833,0.789,0.10244
19,0.79117,0.10221
19.167,0.79267,0.10271
19.333,0.7935,0.10135
19.5,0.7945,0.10168
19.667,0.79583,0.1031
19.833,0.79733,0.10395
20,0.79783,0.1036
20.167,0.7995,0.1028
20.333,0.80067,0.10314
20.5,0.8015,0.10291
20.667,0.8025,0.10262
20.833,0.8025,0.1026
21,0.803,0.10349
21.167,0.80317,0.10426
21.333,0.8045,0.10521
21.5,0.80517,0.1051
21.667,0.80617,0.10515
21.833,0.80583,0.10513
22,0.80633,0.10481
22.167,0.80583,0.10501
22.333,0.80667,0.10517
22.5,0.80583,0.105
22.667,0.80667,0.10537
22.833,0.80617,0.1049
23,0.80617,0.10493
23.167,0.80683,0.1049
23.333,0.80683,0.1051
23.5,0.807,0.10541
23.667,0.80683,0.10555
23.833,0.806,0.10507
