t,OD600,ste
0,0.09725,0.0040311
0.16667,0.09725,0.0040311
0.33333,0.0985,0.0045092
0.5,0.10025,0.0040311
0.66667,0.10325,0.0040311
0.83333,0.107,0.0040825
1,0.113,0.003559
1.1667,0.12125,0.0038622
1.3333,0.13225,0.0038622
1.5,0.14475,0.003594
1.6667,0.158,0.003559
1.8333,0.17375,0.0034034
2,0.19225,0.003304
2.1667,0.21575,0.0028723
2.3333,0.23925,0.0043493
2.5,0.26825,0.0058523
2.6667,0.30275,0.0072744
2.8333,0.33375,0.009215
3,0.36325,0.014683
3.1667,0.391,0.01291
3.3333,0.405,0.012754
3.5,0.42025,0.014863
3.6667,0.4345,0.015199
3.8333,0.44275,0.010372
4,0.45,0.0042426
4.1667,0.45575,0.0072284
4.3333,0.4615,0.0081854
4.5,0.467,0.011045
4.6667,0.47625,0.012176
4.8333,0.485,0.013736
5,0.49575,0.011026
5.1667,0.51075,0.0090323
5.3333,0.52175,0.0088835
5.5,0.5315,0.0095743
5.6667,0.5395,0.009815
5.8333,0.54775,0.0098784
6,0.55475,0.0093229
6.1667,0.562,0.010231
6.3333,0.569,0.010231
6.5,0.576,0.011747
6.6667,0.58275,0.011471
6.8333,0.5885,0.012396
7,0.5955,0.012396
7.1667,0.60075,0.012393
7.3333,0.606,0.013928
7.5,0.6115,0.01464
7.6667,0.61775,0.014863
7.8333,0.62425,0.01493
8,0.62975,0.015478
8.1667,0.63625,0.017056
8.3333,0.641,0.017108
8.5,0.647,0.01734
8.6667,0.65275,0.01686
8.8333,0.6575,0.01561
9,0.6625,0.016422
9.1667,0.66825,0.016581
9.3333,0.67525,0.017538
9.5,0.68,0.017607
9.6667,0.686,0.017607
9.8333,0.69,0.016673
10,0.69575,0.016215
10.167,0.70025,0.015756
10.333,0.70625,0.015924
10.5,0.71025,0.016399
10.667,0.71425,0.016399
10.833,0.7185,0.016217
11,0.72325,0.016681
11.167,0.7265,0.016114
11.333,0.73075,0.016215
11.5,0.7355,0.016823
11.667,0.73825,0.016581
11.833,0.7425,0.017483
12,0.7465,0.017407
12.167,0.7505,0.01533
12.333,0.7545,0.015438
12.5,0.758,0.01472
12.667,0.7625,0.015155
12.833,0.7665,0.014911
13,0.77175,0.015196
13.167,0.7765,0.016217
13.333,0.77975,0.016235
13.5,0.783,0.015599
13.667,0.78725,0.01652
13.833,0.7915,0.016217
14,0.79525,0.016581
14.167,0.8005,0.016902
14.333,0.804,0.017146
14.5,0.80825,0.016681
14.667,0.81225,0.016681
14.833,0.8165,0.017916
15,0.821,0.018239
15.167,0.8235,0.017597
15.333,0.82725,0.016681
15.5,0.83075,0.017802
15.667,0.83425,0.01652
15.833,0.8365,0.016217
16,0.84125,0.017212
16.167,0.844,0.016773
16.333,0.84825,0.016681
16.5,0.85225,0.016879
16.667,0.85425,0.016581
16.833,0.8575,0.017597
17,0.86175,0.017134
17.167,0.86425,0.017783
17.333,0.8675,0.017748
17.5,0.871,0.01734
17.667,0.875,0.017455
17.833,0.87775,0.017017
18,0.88025,0.01784
18.167,0.88375,0.017115
18.333,0.886,0.017378
18.5,0.8885,0.018267
18.667,0.89275,0.018355
18.833,0.89525,0.017671
19,0.89725,0.018554
19.167,0.90125,0.018554
19.333,0.905,0.018457
19.5,0.90675,0.018118
19.667,0.90975,0.018572
19.833,0.91325,0.019311
20,0.9155,0.018859
20.167,0.91775,0.020073
20.333,0.92025,0.018839
20.5,0.92325,0.019294
20.667,0.9265,0.020825
20.833,0.929,0.020083
21,0.9325,0.020889
21.167,0.93425,0.021313
21.333,0.93675,0.020934
21.5,0.9395,0.020486
21.667,0.9425,0.02092
21.833,0.94475,0.020982
22,0.94675,0.021884
22.167,0.949,0.021954
22.333,0.95225,0.020742
22.5,0.9545,0.021486
22.667,0.956,0.021479
22.833,0.95975,0.021593
23,0.961,0.021954
23.167,0.9625,0.023587
23.333,0.964,0.021894
23.5,0.96475,0.021093
23.667,0.96775,0.020903
23.833,0.96925,0.023386
