t,OD600,ste
0,0.09775,0.004272
0.16667,0.09825,0.0040311
0.33333,0.0985,0.0045092
0.5,0.09925,0.0040311
0.66667,0.1005,0.0045092
0.83333,0.1025,0.0045092
1,0.10525,0.0040311
1.1667,0.10975,0.0043493
1.3333,0.1155,0.003873
1.5,0.124,0.0042426
1.6667,0.13575,0.0037749
1.8333,0.149,0.0042426
2,0.16275,0.0043493
2.1667,0.17975,0.004113
2.3333,0.20225,0.0038622
2.5,0.22875,0.003594
2.6667,0.2535,0.0033166
2.8333,0.2795,0.0034157
3,0.30275,0.001893
3.1667,0.314,0.0021602
3.3333,0.3275,0.0023805
3.5,0.3395,0.0023805
3.6667,0.35125,0.0022174
3.8333,0.36225,0.0022174
4,0.3735,0.0023805
4.1667,0.38475,0.0025
4.3333,0.3955,0.0023805
4.5,0.406,0.002
4.6667,0.41675,0.0020616
4.8333,0.4265,0.0025166
5,0.4365,0.0025166
5.1667,0.4465,0.0017321
5.3333,0.45625,0.0025
5.5,0.46675,0.0020616
5.6667,0.474,0.0024495
5.8333,0.4815,0.0020817
6,0.4885,0.0026458
6.1667,0.495,0.0029439
6.3333,0.501,0.0029439
6.5,0.50625,0.00263
6.6667,0.5125,0.0033166
6.8333,0.51775,0.0037749
7,0.523,0.003559
7.1667,0.52875,0.003594
7.3333,0.5335,0.003873
7.5,0.54075,0.0045
7.6667,0.54625,0.004717
7.8333,0.55275,0.0055
8,0.5595,0.0058023
8.1667,0.5665,0.0060277
8.3333,0.57225,0.0059652
8.5,0.5785,0.006455
8.6667,0.585,0.0062183
8.8333,0.591,0.006377
9,0.597,0.0064807
9.1667,0.60325,0.006702
9.3333,0.6095,0.0066583
9.5,0.61625,0.006702
9.6667,0.6225,0.0060277
9.8333,0.62875,0.006702
10,0.63475,0.0072284
10.167,0.64125,0.0084212
10.333,0.64725,0.0084212
10.5,0.6535,0.0081035
10.667,0.66,0.008756
10.833,0.6655,0.0096782
11,0.67225,0.0095
11.167,0.678,0.0095568
11.333,0.68425,0.010243
11.5,0.6905,0.011091
11.667,0.69625,0.0098446
11.833,0.7025,0.011091
12,0.7085,0.011958
12.167,0.71375,0.010689
12.333,0.71975,0.011983
12.5,0.725,0.013216
12.667,0.7295,0.012767
12.833,0.73525,0.013251
13,0.73975,0.014009
13.167,0.74625,0.014863
13.333,0.751,0.016573
13.5,0.757,0.017321
13.667,0.762,0.016452
13.833,0.767,0.017378
14,0.773,0.018565
14.167,0.77775,0.019873
14.333,0.78275,0.020678
14.5,0.7895,0.021794
14.667,0.795,0.023252
14.833,0.8005,0.024076
15,0.8075,0.025955
15.167,0.812,0.026845
15.333,0.81775,0.027403
15.5,0.82325,0.028547
15.667,0.82825,0.031732
15.833,0.8345,0.031984
16,0.84075,0.03328
16.167,0.8475,0.033848
16.333,0.8535,0.034617
16.5,0.85875,0.035612
16.667,0.865,0.036652
16.833,0.872,0.038479
17,0.878,0.039791
17.167,0.88375,0.039322
17.333,0.889,0.040579
17.5,0.89575,0.042311
17.667,0.90275,0.042524
17.833,0.90675,0.042774
18,0.914,0.04322
18.167,0.92025,0.043942
18.333,0.926,0.044264
18.5,0.93125,0.044207
18.667,0.9365,0.044948
18.833,0.94175,0.045412
19,0.94725,0.044207
19.167,0.9535,0.044673
19.333,0.959,0.045365
19.5,0.96325,0.045828
19.667,0.96725,0.045828
19.833,0.9715,0.046033
20,0.97625,0.04453
20.167,0.981,0.045658
20.333,0.9855,0.046033
20.5,0.98975,0.045697
20.667,0.9935,0.046083
20.833,0.9975,0.04658
21,1.0002,0.046421
21.167,1.0045,0.046083
21.333,1.0085,0.046879
21.5,1.0112,0.047218
21.667,1.0145,0.046083
21.833,1.0182,0.046914
22,1.021,0.046762
22.167,1.0237,0.047338
22.333,1.0272,0.046421
22.5,1.0302,0.045879
22.667,1.0332,0.046421
22.833,1.036,0.046762
23,1.0388,0.046053
23.167,1.0412,0.046421
23.333,1.0428,0.045995
23.5,1.046,0.045614
23.667,1.047,0.045658
23.833,1.0497,0.046493
