t,OD600,ste
0,0.098,0.0012649
0.16667,0.0985,0.0010488
0.33333,0.1,0.00089443
0.5,0.10217,0.00075277
0.66667,0.1055,0.0013784
0.83333,0.1105,0.00251
1,0.1175,0.0040373
1.1667,0.12733,0.0057155
1.3333,0.13917,0.0072226
1.5,0.15333,0.0095219
1.6667,0.16883,0.012303
1.8333,0.18717,0.01419
2,0.207,0.015414
2.1667,0.22817,0.014414
2.3333,0.2525,0.01638
2.5,0.2785,0.018738
2.6667,0.30767,0.020235
2.8333,0.333,0.020435
3,0.35183,0.021785
3.1667,0.36583,0.023302
3.3333,0.37717,0.023276
3.5,0.38817,0.022578
3.6667,0.39867,0.022748
3.8333,0.40767,0.026927
4,0.41867,0.030356
4.1667,0.4315,0.030586
4.3333,0.442,0.02846
4.5,0.4505,0.02565
4.6667,0.4575,0.022215
4.8333,0.464,0.019514
5,0.4715,0.017237
5.1667,0.47817,0.014483
5.3333,0.4845,0.013096
5.5,0.4915,0.013004
5.6667,0.499,0.013054
5.8333,0.50683,0.014317
6,0.51367,0.015845
6.1667,0.52117,0.017093
6.3333,0.527,0.018644
6.5,0.53383,0.02076
6.6667,0.53983,0.022275
6.8333,0.5465,0.024745
7,0.5525,0.025209
7.1667,0.55867,0.026394
7.3333,0.56617,0.028449
7.5,0.572,0.030699
7.6667,0.57767,0.032023
7.8333,0.58533,0.034133
8,0.59233,0.036081
8.1667,0.59817,0.037976
8.3333,0.60733,0.040737
8.5,0.61317,0.04292
8.6667,0.62067,0.044724
8.8333,0.62767,0.050115
9,0.63317,0.050847
9.1667,0.64117,0.054101
9.3333,0.64733,0.055716
9.5,0.65417,0.058094
9.6667,0.6605,0.060702
9.8333,0.66567,0.063292
10,0.6735,0.066476
10.167,0.68067,0.068468
10.333,0.687,0.069331
10.5,0.69267,0.07011
10.667,0.7005,0.072476
10.833,0.70633,0.074674
11,0.71283,0.076852
11.167,0.71967,0.077825
11.333,0.72633,0.08124
11.5,0.732,0.082745
11.667,0.73867,0.08327
11.833,0.74433,0.085367
12,0.75017,0.086735
12.167,0.75567,0.086703
12.333,0.76217,0.087801
12.5,0.76933,0.08981
12.667,0.775,0.090856
12.833,0.78,0.091308
13,0.78633,0.092478
13.167,0.79217,0.093064
13.333,0.7975,0.094397
13.5,0.80267,0.093712
13.667,0.80883,0.095288
13.833,0.8135,0.096759
14,0.81867,0.097877
14.167,0.82333,0.097854
14.333,0.82817,0.099125
14.5,0.834,0.098904
14.667,0.83933,0.10018
14.833,0.84433,0.10054
15,0.84917,0.10133
15.167,0.85383,0.10163
15.333,0.85833,0.10252
15.5,0.86317,0.10299
15.667,0.86717,0.10349
15.833,0.872,0.10289
16,0.87683,0.10367
16.167,0.8815,0.10435
16.333,0.886,0.10477
16.5,0.89067,0.1042
16.667,0.8955,0.10389
16.833,0.90033,0.10479
17,0.90417,0.10539
17.167,0.90833,0.10528
17.333,0.9125,0.10447
17.5,0.9165,0.10512
17.667,0.92033,0.10598
17.833,0.924,0.10626
18,0.92733,0.1054
18.167,0.931,0.10641
18.333,0.9345,0.10639
18.5,0.938,0.10608
18.667,0.94233,0.10653
18.833,0.94533,0.10595
19,0.94767,0.10541
19.167,0.95067,0.10642
19.333,0.95517,0.10638
19.5,0.957,0.10592
19.667,0.96,0.10597
19.833,0.963,0.10571
20,0.96617,0.10492
20.167,0.96917,0.10535
20.333,0.97133,0.10593
20.5,0.97433,0.10559
20.667,0.97667,0.10568
20.833,0.979,0.10506
21,0.98183,0.1053
21.167,0.98433,0.10463
21.333,0.98617,0.10407
21.5,0.98867,0.10401
21.667,0.99067,0.10487
21.833,0.9925,0.10458
22,0.994,0.10408
22.167,0.9955,0.10443
22.333,0.99733,0.10417
22.5,0.999,0.10479
22.667,1.0013,0.10452
22.833,1.0033,0.10424
23,1.0043,0.10379
23.167,1.005,0.10414
23.333,1.0072,0.10367
23.5,1.009,0.10423
23.667,1.0118,0.10348
23.833,1.011,0.10402
