t,OD600,ste
0,0.0956,0.0021909
0.16667,0.0956,0.0021909
0.33333,0.0964,0.00251
0.5,0.0976,0.0021909
0.66667,0.0986,0.0021909
0.83333,0.1004,0.00251
1,0.1034,0.0023022
1.1667,0.1074,0.0023022
1.3333,0.1128,0.0021679
1.5,0.1196,0.0020736
1.6667,0.1294,0.0027019
1.8333,0.1414,0.0040373
2,0.1544,0.0060249
2.1667,0.1698,0.0078549
2.3333,0.185,0.0093541
2.5,0.207,0.011769
2.6667,0.2286,0.014519
2.8333,0.2512,0.016453
3,0.2706,0.012522
3.1667,0.288,0.0091924
3.3333,0.2966,0.010644
3.5,0.306,0.012062
3.6667,0.3158,0.012153
3.8333,0.325,0.012145
4,0.3348,0.011925
4.1667,0.3444,0.011675
4.3333,0.3536,0.011283
4.5,0.3618,0.011323
4.6667,0.3696,0.010922
4.8333,0.3762,0.010756
5,0.3848,0.011122
5.1667,0.3938,0.012853
5.3333,0.4014,0.012973
5.5,0.4092,0.013936
5.6667,0.4172,0.015944
5.8333,0.4264,0.018174
6,0.4386,0.016196
6.1667,0.4534,0.015388
6.3333,0.4652,0.016362
6.5,0.4758,0.018102
6.6667,0.4858,0.021925
6.8333,0.4948,0.024712
7,0.5032,0.027851
7.1667,0.5104,0.030981
7.3333,0.5172,0.033033
7.5,0.523,0.035826
7.6667,0.5294,0.037938
7.8333,0.5356,0.039614
8,0.5406,0.04082
8.1667,0.546,0.042297
8.3333,0.5508,0.044505
8.5,0.5554,0.046431
8.6667,0.5612,0.047683
8.8333,0.5652,0.049327
9,0.5686,0.051403
9.1667,0.5742,0.052656
9.3333,0.5784,0.05416
9.5,0.5828,0.055495
9.6667,0.5862,0.057682
9.8333,0.5908,0.059036
10,0.5948,0.059655
10.167,0.5982,0.061414
10.333,0.6034,0.061962
10.5,0.6074,0.063153
10.667,0.612,0.063847
10.833,0.6158,0.064921
11,0.6204,0.065121
11.167,0.624,0.065867
11.333,0.628,0.06716
11.5,0.6326,0.068883
11.667,0.636,0.069235
11.833,0.6392,0.069633
12,0.6436,0.070515
12.167,0.6474,0.07121
12.333,0.6504,0.07186
12.5,0.6544,0.074063
12.667,0.6576,0.074504
12.833,0.661,0.074364
13,0.6638,0.075377
13.167,0.6668,0.07537
13.333,0.6692,0.075738
13.5,0.672,0.07686
13.667,0.6754,0.077219
13.833,0.6778,0.078075
14,0.6804,0.078331
14.167,0.684,0.07913
14.333,0.6872,0.07902
14.5,0.6898,0.079735
14.667,0.6926,0.080435
14.833,0.6956,0.079905
15,0.6984,0.081076
15.167,0.7006,0.082115
15.333,0.703,0.082465
15.5,0.7054,0.082803
15.667,0.708,0.083585
15.833,0.7096,0.08437
16,0.7124,0.085005
16.167,0.7146,0.086497
16.333,0.717,0.087923
16.5,0.7192,0.087216
16.667,0.7214,0.087203
16.833,0.7238,0.088177
17,0.7254,0.08899
17.167,0.728,0.088626
17.333,0.7298,0.089876
17.5,0.7316,0.089954
17.667,0.7332,0.091966
17.833,0.7358,0.091625
18,0.7378,0.093839
18.167,0.7392,0.094113
18.333,0.741,0.09542
18.5,0.742,0.095276
18.667,0.7438,0.096051
18.833,0.7452,0.097507
19,0.7464,0.09795
19.167,0.747,0.098232
19.333,0.7488,0.099482
19.5,0.7496,0.10011
19.667,0.7506,0.10117
19.833,0.7514,0.10242
20,0.7522,0.10311
20.167,0.7532,0.10428
20.333,0.754,0.1044
20.5,0.7552,0.106
20.667,0.7558,0.10742
20.833,0.7564,0.10823
21,0.757,0.10956
21.167,0.7584,0.11002
21.333,0.7588,0.11038
21.5,0.7596,0.11163
21.667,0.7594,0.11226
21.833,0.76,0.11301
22,0.7604,0.11391
22.167,0.7604,0.11452
22.333,0.7606,0.11548
22.5,0.7612,0.11629
22.667,0.7614,0.11787
22.833,0.7614,0.11839
23,0.7614,0.11953
23.167,0.7614,0.12065
23.333,0.761,0.12037
23.5,0.761,0.12088
23.667,0.761,0.12198
23.833,0.7618,0.12323
