t,OD600,ste
0,0.092667,0.0025033
0.16667,0.0925,0.002881
0.33333,0.093,0.0035777
0.5,0.093833,0.0051543
0.66667,0.094833,0.0070828
0.83333,0.096167,0.0098472
1,0.098667,0.01401
1.1667,0.101,0.018308
1.3333,0.10417,0.022248
1.5,0.1085,0.028543
1.6667,0.11317,0.034787
1.8333,0.1205,0.043339
2,0.1285,0.05035
2.1667,0.13883,0.058403
2.3333,0.15117,0.067116
2.5,0.16433,0.076401
2.6667,0.17783,0.085176
2.8333,0.19017,0.089934
3,0.20333,0.092303
3.1667,0.218,0.095356
3.3333,0.234,0.096799
3.5,0.25233,0.099083
3.6667,0.27,0.099832
3.8333,0.287,0.10059
4,0.3045,0.10214
4.1667,0.31917,0.10295
4.3333,0.332,0.10267
4.5,0.34217,0.10148
4.6667,0.35067,0.1001
4.8333,0.36,0.098783
5,0.36933,0.097029
5.1667,0.3785,0.096054
5.3333,0.389,0.094272
5.5,0.40117,0.091125
5.6667,0.41383,0.088655
5.8333,0.4265,0.085767
6,0.43933,0.08197
6.1667,0.45117,0.078665
6.3333,0.46383,0.077308
6.5,0.47533,0.080386
6.6667,0.48633,0.084434
6.8333,0.497,0.089176
7,0.5075,0.09438
7.1667,0.51867,0.099172
7.3333,0.529,0.10471
7.5,0.5405,0.10884
7.6667,0.55333,0.11062
7.8333,0.5675,0.11396
8,0.5815,0.11735
8.1667,0.593,0.11928
8.3333,0.6055,0.12217
8.5,0.61633,0.12532
8.6667,0.62683,0.12757
8.8333,0.63833,0.13023
9,0.64983,0.13306
9.1667,0.6595,0.13418
9.3333,0.67083,0.13725
9.5,0.68083,0.13814
9.6667,0.69283,0.13888
9.8333,0.70317,0.13947
10,0.71433,0.1405
10.167,0.7255,0.14044
10.333,0.7345,0.14133
10.5,0.74367,0.14094
10.667,0.75267,0.14117
10.833,0.76117,0.14043
11,0.77033,0.13823
11.167,0.7815,0.13682
11.333,0.7905,0.1345
11.5,0.79967,0.13123
11.667,0.80867,0.12684
11.833,0.81817,0.12313
12,0.826,0.11969
12.167,0.8325,0.11744
12.333,0.83983,0.11442
12.5,0.84583,0.11001
12.667,0.85283,0.10825
12.833,0.859,0.10467
13,0.86417,0.10195
13.167,0.869,0.098521
13.333,0.87367,0.096936
13.5,0.87833,0.093889
13.667,0.88217,0.091661
13.833,0.88583,0.088676
14,0.88967,0.085395
14.167,0.89333,0.084037
14.333,0.89733,0.082425
14.5,0.90083,0.080457
14.667,0.9045,0.078729
14.833,0.9085,0.076202
15,0.9115,0.074234
15.167,0.91417,0.073046
15.333,0.91633,0.071679
15.5,0.919,0.070711
15.667,0.92133,0.069041
15.833,0.92333,0.068515
16,0.92483,0.068081
16.167,0.92667,0.066108
16.333,0.92817,0.06598
16.5,0.92967,0.064348
16.667,0.93117,0.064509
16.833,0.93283,0.064667
17,0.93433,0.064033
17.167,0.93467,0.063061
17.333,0.936,0.062817
17.5,0.93583,0.062768
17.667,0.93633,0.062759
17.833,0.93783,0.062608
18,0.93717,0.063704
18.167,0.93767,0.063802
18.333,0.9375,0.064376
18.5,0.93833,0.064636
18.667,0.93817,0.064821
18.833,0.93917,0.064101
19,0.9395,0.063001
19.167,0.94,0.063753
19.333,0.94017,0.063502
19.5,0.94067,0.063488
19.667,0.94083,0.062736
19.833,0.941,0.062897
20,0.94083,0.062729
20.167,0.94033,0.062912
20.333,0.9405,0.063166
20.5,0.94017,0.063512
20.667,0.93917,0.063553
20.833,0.93917,0.064148
21,0.93933,0.064416
21.167,0.93917,0.06421
21.333,0.93933,0.064376
21.5,0.93933,0.064086
21.667,0.93867,0.064186
21.833,0.93833,0.064404
22,0.93783,0.063967
22.167,0.93767,0.064099
22.333,0.9375,0.063862
22.5,0.93733,0.06377
22.667,0.93683,0.063886
22.833,0.93683,0.063465
23,0.936,0.064374
23.167,0.93583,0.064527
23.333,0.93583,0.064111
23.5,0.93583,0.063892
23.667,0.93617,0.063792
23.833,0.9355,0.064146
