t,OD600,ste
0,0.10917,0.011017
0.16667,0.10283,0.0023166
0.33333,0.10733,0.0027325
0.5,0.11417,0.0041191
0.66667,0.1235,0.0051672
0.83333,0.1345,0.0055767
1,0.147,0.0069857
1.1667,0.16183,0.0091086
1.3333,0.1795,0.010968
1.5,0.2025,0.012357
1.6667,0.22783,0.014049
1.8333,0.25483,0.012687
2,0.2765,0.0088487
2.1667,0.2895,0.0070071
2.3333,0.30183,0.006047
2.5,0.31283,0.0054924
2.6667,0.32233,0.0046762
2.8333,0.33133,0.0044572
3,0.34017,0.0039707
3.1667,0.3485,0.0036194
3.3333,0.3545,0.0032711
3.5,0.36033,0.0040825
3.6667,0.3665,0.0041352
3.8333,0.37283,0.0044907
4,0.379,0.0052915
4.1667,0.38517,0.0051929
4.3333,0.39233,0.005465
4.5,0.398,0.0064187
4.6667,0.40483,0.0073598
4.8333,0.41,0.0080994
5,0.41667,0.0074207
5.1667,0.42333,0.0078655
5.3333,0.43,0.0096125
5.5,0.43867,0.012485
5.6667,0.45,0.012992
5.8333,0.46283,0.012656
6,0.47483,0.010534
6.1667,0.48433,0.010309
6.3333,0.4945,0.0094604
6.5,0.50267,0.0095009
6.6667,0.51167,0.0087788
6.8333,0.52033,0.0084538
7,0.529,0.008124
7.1667,0.5375,0.0075033
7.3333,0.5455,0.0065345
7.5,0.5535,0.0068337
7.6667,0.56183,0.0065243
7.8333,0.56883,0.0065853
8,0.5775,0.0069785
8.1667,0.585,0.0068118
8.3333,0.59233,0.0068605
8.5,0.59983,0.0069113
8.6667,0.60717,0.0066758
8.8333,0.615,0.0068702
9,0.6225,0.0067157
9.1667,0.62983,0.006824
9.3333,0.63783,0.0070261
9.5,0.64517,0.0072778
9.6667,0.65267,0.0075011
9.8333,0.66,0.0077717
10,0.66767,0.0083347
10.167,0.67483,0.0081343
10.333,0.6825,0.0084558
10.5,0.68917,0.0089088
10.667,0.697,0.0089219
10.833,0.70383,0.0090203
11,0.71067,0.0095009
11.167,0.71783,0.0087958
11.333,0.72383,0.0091524
11.5,0.7305,0.0089833
11.667,0.73667,0.0087788
11.833,0.74267,0.0085713
12,0.7485,0.0093327
12.167,0.754,0.0093381
12.333,0.7595,0.0092466
12.5,0.76483,0.0092394
12.667,0.76967,0.0098522
12.833,0.77533,0.0098928
13,0.78,0.010237
13.167,0.78533,0.010652
13.333,0.79033,0.011003
13.5,0.79483,0.011374
13.667,0.80033,0.011793
13.833,0.80467,0.012517
14,0.80933,0.012644
14.167,0.81383,0.01306
14.333,0.81817,0.0136
14.5,0.8225,0.014025
14.667,0.82717,0.014538
14.833,0.83117,0.015198
15,0.83517,0.015329
15.167,0.83983,0.015613
15.333,0.84367,0.015983
15.5,0.84817,0.016388
15.667,0.85183,0.01736
15.833,0.85567,0.017648
16,0.85933,0.017918
16.167,0.86267,0.018107
16.333,0.86667,0.019273
16.5,0.87,0.01986
16.667,0.8735,0.020657
16.833,0.87717,0.021395
17,0.8805,0.022007
17.167,0.88383,0.022596
17.333,0.88683,0.023464
17.5,0.88967,0.024031
17.667,0.89233,0.024484
17.833,0.89533,0.025137
18,0.8975,0.025665
18.167,0.89967,0.026051
18.333,0.90233,0.026478
18.5,0.9045,0.026876
18.667,0.90683,0.027549
18.833,0.9085,0.02819
19,0.91017,0.028632
19.167,0.91283,0.029342
19.333,0.914,0.030193
19.5,0.91533,0.030807
19.667,0.91767,0.032807
19.833,0.919,0.032979
20,0.9225,0.03633
20.167,0.924,0.037805
20.333,0.92583,0.039474
20.5,0.92683,0.04039
20.667,0.92883,0.040534
20.833,0.93017,0.041873
21,0.9315,0.042978
21.167,0.93233,0.044021
21.333,0.93333,0.045381
21.5,0.93433,0.046474
21.667,0.9355,0.047761
21.833,0.93667,0.048685
22,0.93717,0.049118
22.167,0.938,0.050299
22.333,0.93883,0.050752
22.5,0.93933,0.051648
22.667,0.93967,0.052225
22.833,0.94017,0.053312
23,0.94083,0.054027
23.167,0.9405,0.054445
23.333,0.94133,0.055345
23.5,0.9415,0.056135
23.667,0.942,0.056777
23.833,0.94217,0.056736
