t,OD600,ste
0,0.10083,0.00608
0.16667,0.1025,0.0078677
0.33333,0.106,0.010696
0.5,0.11133,0.015345
0.66667,0.11783,0.020331
0.83333,0.12567,0.025602
1,0.136,0.031547
1.1667,0.14767,0.037495
1.3333,0.16267,0.045816
1.5,0.18,0.053202
1.6667,0.19817,0.057977
1.8333,0.221,0.06721
2,0.24683,0.076148
2.1667,0.27117,0.080305
2.3333,0.29683,0.081374
2.5,0.32,0.076021
2.6667,0.34283,0.068306
2.8333,0.36467,0.059915
3,0.383,0.050402
3.1667,0.39633,0.041917
3.3333,0.40967,0.032543
3.5,0.41967,0.027804
3.6667,0.42817,0.023566
3.8333,0.4345,0.020792
4,0.44017,0.018819
4.1667,0.44533,0.017108
4.3333,0.45017,0.016738
4.5,0.45367,0.015996
4.6667,0.45783,0.016142
4.8333,0.46267,0.015629
5,0.46683,0.015779
5.1667,0.47117,0.016975
5.3333,0.47583,0.016339
5.5,0.47967,0.01587
5.6667,0.48483,0.016666
5.8333,0.489,0.016817
6,0.49367,0.01686
6.1667,0.498,0.0159
6.3333,0.50133,0.016729
6.5,0.50667,0.015908
6.6667,0.51167,0.015539
6.8333,0.51617,0.016437
7,0.52,0.015166
7.1667,0.52467,0.015895
7.3333,0.53,0.016982
7.5,0.53467,0.016705
7.6667,0.54017,0.015433
7.8333,0.54367,0.015055
8,0.54733,0.016108
8.1667,0.55317,0.016364
8.3333,0.55767,0.015488
8.5,0.56333,0.015175
8.6667,0.56833,0.015718
8.8333,0.57267,0.014137
9,0.57617,0.013963
9.1667,0.58217,0.013992
9.3333,0.58733,0.012956
9.5,0.59183,0.0116
9.6667,0.59583,0.011089
9.8333,0.601,0.010198
10,0.60567,0.0095219
10.167,0.61,0.007874
10.333,0.61483,0.0076267
10.5,0.62067,0.0071461
10.667,0.62533,0.0081158
10.833,0.63017,0.0073869
11,0.63417,0.0076267
11.167,0.63967,0.0080664
11.333,0.64483,0.0073326
11.5,0.64983,0.0076004
11.667,0.65517,0.0081588
11.833,0.6605,0.0094604
12,0.66433,0.0095009
12.167,0.66967,0.0095638
12.333,0.675,0.010139
12.5,0.68017,0.01098
12.667,0.685,0.011454
12.833,0.68967,0.01129
13,0.6935,0.012988
13.167,0.69833,0.014404
13.333,0.70283,0.0156
13.5,0.70667,0.016813
13.667,0.712,0.016829
13.833,0.71567,0.017795
14,0.7205,0.017364
14.167,0.72383,0.018225
14.333,0.72817,0.018627
14.5,0.73267,0.018991
14.667,0.73683,0.018498
14.833,0.74017,0.019763
15,0.74317,0.021264
15.167,0.74767,0.022509
15.333,0.75183,0.023532
15.5,0.75517,0.023727
15.667,0.759,0.024017
15.833,0.76267,0.025248
16,0.7645,0.025689
16.167,0.7695,0.027501
16.333,0.77183,0.027888
16.5,0.77617,0.029397
16.667,0.77933,0.029817
16.833,0.78167,0.029371
17,0.78433,0.03052
17.167,0.78617,0.030747
17.333,0.78867,0.031418
17.5,0.7915,0.032642
17.667,0.79317,0.033379
17.833,0.79617,0.034225
18,0.79817,0.034937
18.167,0.7995,0.035416
18.333,0.80233,0.036855
18.5,0.8035,0.036325
18.667,0.805,0.036282
18.833,0.80667,0.036952
19,0.80833,0.03784
19.167,0.80967,0.038166
19.333,0.8115,0.038708
19.5,0.8125,0.038641
19.667,0.8135,0.038965
19.833,0.815,0.038063
20,0.81717,0.039585
20.167,0.8175,0.038708
20.333,0.8185,0.039491
20.5,0.81967,0.040347
20.667,0.82067,0.040712
20.833,0.82167,0.041913
21,0.82267,0.041879
21.167,0.82383,0.041897
21.333,0.82567,0.042326
21.5,0.8255,0.04367
21.667,0.82617,0.044102
21.833,0.82717,0.044522
22,0.828,0.044936
22.167,0.82917,0.045035
22.333,0.82983,0.045248
22.5,0.8315,0.045333
22.667,0.83083,0.044933
22.833,0.83167,0.04609
23,0.8325,0.047035
23.167,0.8335,0.047201
23.333,0.834,0.047147
23.5,0.83467,0.047353
23.667,0.835,0.046725
23.833,0.83567,0.047475
