t,OD600,ste
0,0.1,0.01189
0.16667,0.10017,0.0017224
0.33333,0.103,0.0016733
0.5,0.1075,0.0025884
0.66667,0.11417,0.0027869
0.83333,0.12317,0.0033714
1,0.13317,0.0037639
1.1667,0.14483,0.0046655
1.3333,0.159,0.0054037
1.5,0.17667,0.0066533
1.6667,0.19333,0.0073666
1.8333,0.2115,0.0091378
2,0.2285,0.0096488
2.1667,0.24783,0.0094322
2.3333,0.26883,0.0098268
2.5,0.29217,0.017291
2.6667,0.31267,0.024663
2.8333,0.33217,0.022833
3,0.3545,0.018338
3.1667,0.378,0.01995
3.3333,0.39783,0.02223
3.5,0.41417,0.023422
3.6667,0.426,0.026268
3.8333,0.4325,0.027877
4,0.4395,0.027515
4.1667,0.44617,0.027752
4.3333,0.45683,0.026686
4.5,0.4675,0.025611
4.6667,0.477,0.024372
4.8333,0.48533,0.023088
5,0.49183,0.02256
5.1667,0.49817,0.020586
5.3333,0.5035,0.019563
5.5,0.50967,0.01897
5.6667,0.5145,0.019336
5.8333,0.52067,0.017648
6,0.52583,0.017927
6.1667,0.53133,0.017443
6.3333,0.53667,0.017154
6.5,0.54267,0.016232
6.6667,0.54733,0.016083
6.8333,0.55167,0.015971
7,0.55667,0.015983
7.1667,0.561,0.015925
7.3333,0.56567,0.015706
7.5,0.57083,0.015039
7.6667,0.5745,0.015424
7.8333,0.57967,0.014166
8,0.58433,0.014949
8.1667,0.5885,0.015215
8.3333,0.5935,0.015017
8.5,0.59833,0.012691
8.6667,0.60283,0.013761
8.8333,0.607,0.013871
9,0.61233,0.014569
9.1667,0.617,0.014574
9.3333,0.62233,0.015488
9.5,0.62783,0.016798
9.6667,0.63167,0.015908
9.8333,0.6365,0.016121
10,0.63983,0.015943
10.167,0.64517,0.015329
10.333,0.64817,0.017702
10.5,0.654,0.018
10.667,0.6585,0.020027
10.833,0.66267,0.018737
11,0.66783,0.018862
11.167,0.67283,0.01926
11.333,0.67633,0.020166
11.5,0.68,0.02007
11.667,0.68317,0.02041
11.833,0.68767,0.019582
12,0.6925,0.020087
12.167,0.69617,0.021904
12.333,0.70033,0.023235
12.5,0.70467,0.022633
12.667,0.70867,0.022169
12.833,0.712,0.022733
13,0.71567,0.02234
13.167,0.71883,0.023541
13.333,0.72283,0.023853
13.5,0.72733,0.024328
13.667,0.731,0.024666
13.833,0.734,0.024795
14,0.7365,0.024607
14.167,0.74033,0.025049
14.333,0.74333,0.025351
14.5,0.7465,0.025944
14.667,0.75,0.025985
14.833,0.7525,0.026312
15,0.75567,0.026673
15.167,0.7585,0.026516
15.333,0.7605,0.027428
15.5,0.76267,0.027075
15.667,0.76467,0.02734
15.833,0.76717,0.027448
16,0.76983,0.030049
16.167,0.77217,0.029607
16.333,0.77433,0.029878
16.5,0.7765,0.029978
16.667,0.77833,0.030157
16.833,0.7805,0.03071
17,0.78233,0.030794
17.167,0.783,0.030731
17.333,0.785,0.031496
17.5,0.78583,0.031199
17.667,0.788,0.032674
17.833,0.78917,0.032823
18,0.7905,0.033219
18.167,0.7915,0.03418
18.333,0.79367,0.03503
18.5,0.79467,0.0355
18.667,0.79467,0.034668
18.833,0.79633,0.035291
19,0.79717,0.036444
19.167,0.79633,0.035998
19.333,0.796,0.036044
19.5,0.79667,0.036648
19.667,0.79717,0.036989
19.833,0.797,0.036436
20,0.79767,0.037452
20.167,0.79717,0.037674
20.333,0.79833,0.038119
20.5,0.79867,0.03896
20.667,0.79867,0.038852
20.833,0.79783,0.03867
21,0.79733,0.038883
21.167,0.79733,0.038769
21.333,0.797,0.03911
21.5,0.79733,0.039712
21.667,0.79667,0.040093
21.833,0.79667,0.039783
22,0.79567,0.040248
22.167,0.79483,0.040241
22.333,0.79533,0.039928
22.5,0.79433,0.039853
22.667,0.794,0.03993
22.833,0.794,0.04009
23,0.7935,0.039944
23.167,0.793,0.04061
23.333,0.79267,0.040193
23.5,0.79183,0.040067
23.667,0.79183,0.039902
23.833,0.791,0.039985
