t,OD600,ste
0,0.09775,0.0034034
0.16667,0.0985,0.0033166
0.33333,0.1005,0.0033166
0.5,0.10325,0.003594
0.66667,0.10675,0.0034034
0.83333,0.1115,0.0043589
1,0.11825,0.0039476
1.1667,0.1275,0.0047958
1.3333,0.137,0.004899
1.5,0.14775,0.0051881
1.6667,0.1605,0.0054467
1.8333,0.1775,0.0064031
2,0.19675,0.0072284
2.1667,0.216,0.0084063
2.3333,0.237,0.0090554
2.5,0.26075,0.01034
2.6667,0.28775,0.013647
2.8333,0.314,0.015188
3,0.33775,0.017154
3.1667,0.35475,0.018608
3.3333,0.37,0.020992
3.5,0.383,0.023281
3.6667,0.39225,0.022867
3.8333,0.3995,0.022986
4,0.406,0.022106
4.1667,0.41325,0.020516
4.3333,0.421,0.020216
4.5,0.428,0.020445
4.6667,0.434,0.019647
4.8333,0.43775,0.019363
5,0.442,0.018166
5.1667,0.44625,0.017652
5.3333,0.451,0.016872
5.5,0.45575,0.016317
5.6667,0.46175,0.016153
5.8333,0.4675,0.015155
6,0.4735,0.014844
6.1667,0.4805,0.014154
6.3333,0.487,0.013976
6.5,0.49375,0.014175
6.6667,0.5,0.013904
6.8333,0.50575,0.01372
7,0.5115,0.014201
7.1667,0.5175,0.013279
7.3333,0.5235,0.013528
7.5,0.5295,0.013772
7.6667,0.53575,0.013672
7.8333,0.542,0.013711
8,0.54675,0.013226
8.1667,0.5535,0.013916
8.3333,0.55825,0.013451
8.5,0.564,0.015033
8.6667,0.56975,0.015521
8.8333,0.5745,0.010724
9,0.58,0.014213
9.1667,0.5845,0.015286
9.3333,0.59025,0.016378
9.5,0.59525,0.014292
9.6667,0.60025,0.014315
9.8333,0.60525,0.017727
10,0.60975,0.0175
10.167,0.615,0.01701
10.333,0.61975,0.017633
10.5,0.62475,0.018228
10.667,0.629,0.018348
10.833,0.63375,0.017481
11,0.63875,0.01898
11.167,0.64275,0.017633
11.333,0.64725,0.017424
11.5,0.65075,0.018786
11.667,0.6555,0.019053
11.833,0.65975,0.018572
12,0.664,0.018092
12.167,0.666,0.01734
12.333,0.67025,0.018191
12.5,0.674,0.018312
12.667,0.67775,0.019015
12.833,0.6805,0.018412
13,0.684,0.018815
13.167,0.688,0.018815
13.333,0.6905,0.018717
13.5,0.69325,0.019172
13.667,0.69675,0.020106
13.833,0.701,0.021463
14,0.70275,0.020597
14.167,0.7075,0.021063
14.333,0.71075,0.02114
14.5,0.71375,0.020918
14.667,0.71625,0.020742
14.833,0.71875,0.02193
15,0.72225,0.022336
15.167,0.725,0.022015
15.333,0.72875,0.022485
15.5,0.73175,0.02275
15.667,0.73425,0.022111
15.833,0.737,0.021463
16,0.73925,0.022081
16.167,0.74325,0.022202
16.333,0.74525,0.022127
16.5,0.7485,0.022472
16.667,0.75,0.022106
16.833,0.75175,0.021297
17,0.755,0.022015
17.167,0.75725,0.022006
17.333,0.75925,0.021577
17.5,0.76175,0.022441
17.667,0.764,0.022015
17.833,0.7665,0.021548
18,0.7685,0.020889
18.167,0.76975,0.020918
18.333,0.7725,0.021517
18.5,0.77425,0.020903
18.667,0.77625,0.02114
18.833,0.77775,0.020646
19,0.77875,0.021109
19.167,0.781,0.020928
19.333,0.78325,0.021061
19.5,0.78425,0.020839
19.667,0.7865,0.021205
19.833,0.788,0.021245
20,0.78875,0.02032
20.167,0.7905,0.020437
20.333,0.7915,0.021486
20.5,0.79425,0.021438
20.667,0.7955,0.021626
20.833,0.797,0.022166
21,0.79875,0.022322
21.167,0.79975,0.021823
21.333,0.8015,0.022219
21.5,0.80275,0.022426
21.667,0.80375,0.022187
21.833,0.806,0.022405
22,0.8065,0.022098
22.167,0.8075,0.022098
22.333,0.8085,0.022353
22.5,0.81,0.022906
22.667,0.8105,0.022752
22.833,0.8125,0.022752
23,0.81325,0.022021
23.167,0.813,0.022316
23.333,0.81175,0.023215
23.5,0.81325,0.02278
23.667,0.814,0.023551
23.833,0.816,0.022993
