t,OD600,ste
0,0.0925,0.0023805
0.16667,0.0925,0.0023805
0.33333,0.093,0.0029439
0.5,0.09375,0.0038622
0.66667,0.0945,0.0052599
0.83333,0.096,0.0071181
1,0.09825,0.0092871
1.1667,0.1015,0.013229
1.3333,0.10675,0.018283
1.5,0.11225,0.024663
1.6667,0.11875,0.031074
1.8333,0.126,0.038427
2,0.136,0.047617
2.1667,0.14575,0.055632
2.3333,0.15825,0.06649
2.5,0.1715,0.076474
2.6667,0.1855,0.086751
2.8333,0.20075,0.096541
3,0.21675,0.10692
3.1667,0.23425,0.11882
3.3333,0.2505,0.12823
3.5,0.265,0.13519
3.6667,0.278,0.13833
3.8333,0.289,0.13833
4,0.29975,0.13662
4.1667,0.31025,0.13193
4.3333,0.322,0.12837
4.5,0.333,0.12481
4.6667,0.3435,0.1196
4.8333,0.35325,0.11579
5,0.36375,0.11032
5.1667,0.37475,0.10374
5.3333,0.3865,0.097763
5.5,0.39925,0.092052
5.6667,0.4115,0.085855
5.8333,0.4225,0.079559
6,0.43375,0.074352
6.1667,0.444,0.068954
6.3333,0.45275,0.066188
6.5,0.461,0.064099
6.6667,0.46875,0.062973
6.8333,0.4755,0.063522
7,0.4815,0.065831
7.1667,0.48775,0.067352
7.3333,0.49325,0.069519
7.5,0.49975,0.071928
7.6667,0.50575,0.073495
7.8333,0.51225,0.074437
8,0.51925,0.074674
8.1667,0.5255,0.074858
8.3333,0.5325,0.074218
8.5,0.53975,0.074799
8.6667,0.5455,0.073903
8.8333,0.55325,0.074862
9,0.55925,0.074888
9.1667,0.5655,0.074196
9.3333,0.5725,0.077004
9.5,0.58,0.079103
9.6667,0.58625,0.079113
9.8333,0.59275,0.080504
10,0.5995,0.081803
10.167,0.605,0.082418
10.333,0.61125,0.085164
10.5,0.61775,0.087401
10.667,0.62325,0.090072
10.833,0.62825,0.090072
11,0.634,0.091349
11.167,0.64,0.092707
11.333,0.64525,0.095087
11.5,0.651,0.096792
11.667,0.65675,0.098497
11.833,0.663,0.099522
12,0.66825,0.10012
12.167,0.67425,0.10149
12.333,0.67925,0.10264
12.5,0.68475,0.10318
12.667,0.68975,0.10318
12.833,0.69525,0.10417
13,0.701,0.10551
13.167,0.70575,0.10565
13.333,0.711,0.1061
13.5,0.71625,0.10613
13.667,0.721,0.10627
13.833,0.726,0.10687
14,0.73075,0.1072
14.167,0.7355,0.10633
14.333,0.74,0.10586
14.5,0.74425,0.1063
14.667,0.7495,0.10597
14.833,0.75425,0.10612
15,0.7585,0.10441
15.167,0.763,0.10375
15.333,0.76775,0.10391
15.5,0.772,0.1034
15.667,0.7765,0.10293
15.833,0.78025,0.10152
16,0.78425,0.10059
16.167,0.7885,0.099497
16.333,0.792,0.098438
16.5,0.7965,0.097189
16.667,0.79975,0.096876
16.833,0.8035,0.095319
17,0.80675,0.094578
17.167,0.80975,0.093482
17.333,0.81325,0.092114
17.5,0.816,0.090778
17.667,0.819,0.089267
17.833,0.822,0.088306
18,0.82475,0.086029
18.167,0.82775,0.084976
18.333,0.82925,0.083664
18.5,0.83175,0.082443
18.667,0.83425,0.080483
18.833,0.8365,0.079471
19,0.839,0.077991
19.167,0.84075,0.076735
19.333,0.84275,0.075066
19.5,0.84425,0.073627
19.667,0.846,0.073121
19.833,0.8475,0.07122
20,0.84875,0.070049
20.167,0.84975,0.069342
20.333,0.85125,0.068188
20.5,0.85175,0.066535
20.667,0.8535,0.065673
20.833,0.85375,0.064778
21,0.855,0.063849
21.167,0.85525,0.063026
21.333,0.85625,0.061467
21.5,0.85675,0.060362
21.667,0.85725,0.060008
21.833,0.85725,0.059354
22,0.858,0.058224
22.167,0.85825,0.057314
22.333,0.85825,0.056465
22.5,0.8585,0.055693
22.667,0.85825,0.055356
22.833,0.85875,0.054878
23,0.8585,0.053793
23.167,0.85925,0.053269
23.333,0.85875,0.05305
23.5,0.85925,0.052848
23.667,0.85875,0.051887
23.833,0.85875,0.052105
