t,OD600,ste
0,0.097,0.0038297
0.16667,0.09775,0.0047871
0.33333,0.09925,0.0060208
0.5,0.1015,0.0075056
0.66667,0.1055,0.01103
0.83333,0.111,0.015122
1,0.11825,0.019311
1.1667,0.1265,0.024187
1.3333,0.13875,0.030869
1.5,0.153,0.037709
1.6667,0.16825,0.042264
1.8333,0.1835,0.045909
2,0.204,0.052083
2.1667,0.22575,0.057454
2.3333,0.25125,0.064969
2.5,0.27425,0.06681
2.6667,0.296,0.067191
2.8333,0.318,0.060844
3,0.34275,0.054021
3.1667,0.3645,0.04622
3.3333,0.38075,0.040909
3.5,0.39425,0.039135
3.6667,0.40425,0.040294
3.8333,0.415,0.041976
4,0.4235,0.044904
4.1667,0.43275,0.048058
4.3333,0.44225,0.051123
4.5,0.45275,0.055229
4.6667,0.46525,0.055692
4.8333,0.47825,0.055883
5,0.4915,0.055042
5.1667,0.505,0.053777
5.3333,0.51825,0.052041
5.5,0.5315,0.049346
5.6667,0.5445,0.046393
5.8333,0.5555,0.042587
6,0.56625,0.039331
6.1667,0.57575,0.035911
6.3333,0.58525,0.033837
6.5,0.59425,0.03318
6.6667,0.6035,0.030946
6.8333,0.6125,0.031268
7,0.6205,0.032512
7.1667,0.628,0.032853
7.3333,0.63575,0.034654
7.5,0.6435,0.036592
7.6667,0.65075,0.038431
7.8333,0.65825,0.039761
8,0.66575,0.041604
8.1667,0.673,0.04295
8.3333,0.6805,0.044223
8.5,0.68775,0.045712
8.6667,0.6945,0.046429
8.8333,0.70175,0.048527
9,0.70875,0.049331
9.1667,0.71725,0.052194
9.3333,0.72475,0.052804
9.5,0.73175,0.054506
9.6667,0.73875,0.05571
9.8333,0.74575,0.057691
10,0.75225,0.058631
10.167,0.759,0.060756
10.333,0.7645,0.061115
10.5,0.77025,0.062238
10.667,0.7745,0.061981
10.833,0.781,0.06305
11,0.7855,0.06338
11.167,0.79125,0.063516
11.333,0.79525,0.063442
11.5,0.8005,0.063406
11.667,0.80375,0.063642
11.833,0.809,0.064833
12,0.814,0.06425
12.167,0.818,0.064353
12.333,0.8225,0.06447
12.5,0.82675,0.064298
12.667,0.83075,0.064629
12.833,0.83425,0.064428
13,0.8385,0.064506
13.167,0.8425,0.064573
13.333,0.84625,0.064614
13.5,0.84925,0.064205
13.667,0.8525,0.064666
13.833,0.85625,0.065076
14,0.8585,0.064588
14.167,0.86075,0.064593
14.333,0.8635,0.063987
14.5,0.866,0.063849
14.667,0.869,0.063603
14.833,0.872,0.064426
15,0.8735,0.063275
15.167,0.87575,0.063621
15.333,0.87825,0.062798
15.5,0.87975,0.063095
15.667,0.88275,0.063095
15.833,0.88425,0.063079
16,0.8855,0.06328
16.167,0.88725,0.063284
16.333,0.88925,0.062856
16.5,0.891,0.06287
16.667,0.8925,0.062003
16.833,0.893,0.062455
17,0.8945,0.061997
17.167,0.89475,0.061986
17.333,0.8955,0.061218
17.5,0.8965,0.061038
17.667,0.89725,0.061081
17.833,0.89725,0.061201
18,0.8975,0.060429
18.167,0.89825,0.05988
18.333,0.89825,0.060218
18.5,0.898,0.05947
18.667,0.89875,0.058602
18.833,0.89925,0.059067
19,0.8995,0.058666
19.167,0.90025,0.058948
19.333,0.90025,0.058277
19.5,0.90075,0.058266
19.667,0.9005,0.057882
19.833,0.901,0.057747
20,0.90025,0.057151
20.167,0.9005,0.057564
20.333,0.901,0.057096
20.5,0.90025,0.056841
20.667,0.90075,0.05637
20.833,0.8995,0.056158
21,0.90075,0.056612
21.167,0.90025,0.056269
21.333,0.9,0.055546
21.5,0.90075,0.05624
21.667,0.89975,0.055632
21.833,0.90025,0.055776
22,0.90025,0.055464
22.167,0.9,0.055245
22.333,0.90025,0.055662
22.5,0.90025,0.055662
22.667,0.899,0.055851
22.833,0.899,0.055731
23,0.89925,0.055289
23.167,0.899,0.055359
23.333,0.89925,0.055895
23.5,0.89925,0.05599
23.667,0.8995,0.055842
23.833,0.899,0.056208
