t,OD600,ste
0,0.095,0.002
0.16667,0.095333,0.0020656
0.33333,0.096667,0.0025033
0.5,0.098667,0.0029439
0.66667,0.10083,0.0034881
0.83333,0.10467,0.0048442
1,0.1105,0.0066558
1.1667,0.11817,0.0090203
1.3333,0.12833,0.010633
1.5,0.1395,0.012724
1.6667,0.15283,0.015355
1.8333,0.169,0.018276
2,0.188,0.019688
2.1667,0.20833,0.021276
2.3333,0.22917,0.023319
2.5,0.25267,0.02472
2.6667,0.2755,0.025751
2.8333,0.29817,0.026271
3,0.322,0.025393
3.1667,0.34517,0.024194
3.3333,0.36617,0.021729
3.5,0.38433,0.018118
3.6667,0.39633,0.014665
3.8333,0.405,0.012602
4,0.41167,0.012832
4.1667,0.418,0.014057
4.3333,0.4245,0.016059
4.5,0.4305,0.018152
4.6667,0.43717,0.017713
4.8333,0.445,0.017111
5,0.45217,0.01768
5.1667,0.45983,0.017713
5.3333,0.46667,0.017374
5.5,0.47367,0.017143
5.6667,0.4805,0.017062
5.8333,0.488,0.016912
6,0.49467,0.01612
6.1667,0.50067,0.014583
6.3333,0.50667,0.014123
6.5,0.5125,0.013853
6.6667,0.51817,0.013586
6.8333,0.52367,0.012628
7,0.5275,0.012438
7.1667,0.53233,0.011237
7.3333,0.5375,0.010672
7.5,0.54217,0.010458
7.6667,0.54667,0.010033
7.8333,0.551,0.010991
8,0.55533,0.010443
8.1667,0.55917,0.010591
8.3333,0.56367,0.010857
8.5,0.56817,0.011686
8.6667,0.57233,0.012028
8.8333,0.57717,0.012024
9,0.5805,0.011692
9.1667,0.5845,0.011879
9.3333,0.58883,0.012139
9.5,0.59233,0.011944
9.6667,0.597,0.01228
9.8333,0.60133,0.013079
10,0.6065,0.014025
10.167,0.6105,0.014039
10.333,0.61517,0.014077
10.5,0.61867,0.014814
10.667,0.6225,0.015333
10.833,0.62683,0.016315
11,0.631,0.017401
11.167,0.636,0.018385
11.333,0.63933,0.018446
11.5,0.64433,0.020176
11.667,0.64833,0.020304
11.833,0.653,0.020591
12,0.65733,0.021304
12.167,0.6625,0.020878
12.333,0.66717,0.021683
12.5,0.67083,0.022338
12.667,0.67567,0.022949
12.833,0.68017,0.023173
13,0.68467,0.023737
13.167,0.68883,0.023387
13.333,0.69383,0.024343
13.5,0.69817,0.024219
13.667,0.703,0.02486
13.833,0.70767,0.024262
14,0.71217,0.025111
14.167,0.716,0.025377
14.333,0.721,0.025652
14.5,0.72517,0.02637
14.667,0.7295,0.026083
14.833,0.73383,0.026446
15,0.738,0.026892
15.167,0.74167,0.026808
15.333,0.74567,0.028353
15.5,0.74883,0.029219
15.667,0.75283,0.029983
15.833,0.756,0.030417
16,0.76,0.030731
16.167,0.76283,0.031276
16.333,0.76617,0.03199
16.5,0.76933,0.032476
16.667,0.77217,0.032975
16.833,0.77533,0.033536
17,0.778,0.033847
17.167,0.78033,0.034174
17.333,0.78333,0.034576
17.5,0.78517,0.035097
17.667,0.78767,0.035635
17.833,0.79,0.036376
18,0.792,0.036376
18.167,0.79417,0.036532
18.333,0.7955,0.036915
18.5,0.79717,0.037301
18.667,0.79933,0.037474
18.833,0.80117,0.038002
19,0.80267,0.038151
19.167,0.80367,0.038177
19.333,0.805,0.038518
19.5,0.80667,0.038516
19.667,0.80733,0.038521
19.833,0.80833,0.038521
20,0.809,0.038549
20.167,0.8105,0.038754
20.333,0.81167,0.038955
20.5,0.812,0.038977
20.667,0.813,0.038626
20.833,0.81317,0.039184
21,0.814,0.038997
21.167,0.814,0.039064
21.333,0.81433,0.039455
21.5,0.81517,0.03924
21.667,0.81533,0.039495
21.833,0.815,0.039487
22,0.81483,0.039736
22.167,0.81483,0.040469
22.333,0.81533,0.039928
22.5,0.81467,0.039983
22.667,0.8145,0.040153
22.833,0.8145,0.040233
23,0.81433,0.040063
23.167,0.81417,0.040276
23.333,0.81367,0.040466
23.5,0.8135,0.040747
23.667,0.813,0.040536
23.833,0.81267,0.040884
