t,OD600,ste
0,0.096,0.0023094
0.16667,0.097,0.0023094
0.33333,0.09875,0.00263
0.5,0.1015,0.0023805
0.66667,0.105,0.0029439
0.83333,0.11075,0.003304
1,0.119,0.003559
1.1667,0.131,0.0042426
1.3333,0.14375,0.0053151
1.5,0.15875,0.0057373
1.6667,0.17675,0.0053774
1.8333,0.19625,0.0068496
2,0.217,0.0058878
2.1667,0.24,0.0064807
2.3333,0.26625,0.0062915
2.5,0.29325,0.0057373
2.6667,0.3175,0.0054467
2.8333,0.33475,0.0057373
3,0.347,0.0069761
3.1667,0.35675,0.006702
3.3333,0.36575,0.0082209
3.5,0.374,0.0088318
3.6667,0.38175,0.014104
3.8333,0.3885,0.020075
4,0.39625,0.025145
4.1667,0.406,0.027289
4.3333,0.41525,0.025966
4.5,0.4225,0.024556
4.6667,0.4295,0.021825
4.8333,0.43625,0.01938
5,0.4435,0.017
5.1667,0.452,0.014674
5.3333,0.45975,0.012816
5.5,0.467,0.010456
5.6667,0.474,0.0077889
5.8333,0.48075,0.0063966
6,0.48725,0.005909
6.1667,0.493,0.0048305
6.3333,0.49925,0.0036856
6.5,0.5055,0.0034157
6.6667,0.512,0.0029439
6.8333,0.5175,0.0033166
7,0.52425,0.0035
7.1667,0.52975,0.0025
7.3333,0.5365,0.0034157
7.5,0.5425,0.0036968
7.6667,0.54725,0.0036856
7.8333,0.554,0.0045461
8,0.5595,0.0040415
8.1667,0.56625,0.0053151
8.3333,0.5725,0.006455
8.5,0.57825,0.0066521
8.6667,0.58425,0.0061305
8.8333,0.59025,0.0053151
9,0.59725,0.0055603
9.1667,0.602,0.005831
9.3333,0.60825,0.0070887
9.5,0.61375,0.0080571
9.6667,0.62075,0.0075
9.8333,0.62675,0.0077621
10,0.63175,0.0076322
10.167,0.6375,0.0086987
10.333,0.6435,0.0091469
10.5,0.64925,0.0086554
10.667,0.655,0.0089815
10.833,0.66175,0.0093586
11,0.66725,0.011471
11.167,0.67425,0.011442
11.333,0.6805,0.011733
11.5,0.687,0.012356
11.667,0.69325,0.012842
11.833,0.699,0.014445
12,0.706,0.013928
12.167,0.71175,0.01372
12.333,0.718,0.015341
12.5,0.72475,0.015521
12.667,0.73,0.016472
12.833,0.73625,0.017538
13,0.74275,0.01648
13.167,0.74875,0.016998
13.333,0.7535,0.016093
13.5,0.75875,0.017557
13.667,0.76325,0.019085
13.833,0.768,0.021354
14,0.773,0.021213
14.167,0.778,0.021954
14.333,0.7825,0.021749
14.5,0.7885,0.022487
14.667,0.79375,0.023042
14.833,0.7985,0.022487
15,0.80325,0.023429
15.167,0.80875,0.023358
15.333,0.81325,0.023571
15.5,0.81825,0.024322
15.667,0.824,0.024235
15.833,0.8275,0.025852
16,0.8315,0.025371
16.167,0.83675,0.026513
16.333,0.8425,0.026109
16.5,0.84575,0.026986
16.667,0.8505,0.026109
16.833,0.855,0.026646
17,0.8585,0.026451
17.167,0.8625,0.027185
17.333,0.86625,0.028265
17.5,0.87025,0.0295
17.667,0.87475,0.028721
17.833,0.87825,0.029466
18,0.883,0.02881
18.167,0.8855,0.02949
18.333,0.89,0.029451
18.5,0.89375,0.029067
18.667,0.897,0.029766
18.833,0.90075,0.030159
19,0.90275,0.030159
19.167,0.9065,0.030881
19.333,0.91075,0.0325
19.5,0.91325,0.032191
19.667,0.91575,0.031868
19.833,0.91925,0.032014
20,0.922,0.031654
20.167,0.92475,0.032014
20.333,0.92675,0.032428
20.5,0.931,0.032228
20.667,0.93375,0.033599
20.833,0.9365,0.034395
21,0.9395,0.034395
21.167,0.94225,0.034596
21.333,0.944,0.034881
21.5,0.94625,0.034519
21.667,0.94875,0.035084
21.833,0.9515,0.035445
22,0.9525,0.035445
22.167,0.95425,0.034932
22.333,0.95625,0.035556
22.5,0.95875,0.03628
22.667,0.961,0.036551
22.833,0.963,0.035898
23,0.96525,0.036188
23.167,0.966,0.036083
23.333,0.966,0.036249
23.5,0.9675,0.037474
23.667,0.97,0.036914
23.833,0.9715,0.037758
