t,OD600,ste
0,0.1,0.012176
0.16667,0.09875,0.0012583
0.33333,0.10175,0.0012583
0.5,0.10625,0.00095743
0.66667,0.11275,0.0012583
0.83333,0.12175,0.0015
1,0.13275,0.0020616
1.1667,0.14425,0.0017078
1.3333,0.15875,0.0015
1.5,0.1755,0.0020817
1.6667,0.19775,0.0025
1.8333,0.22125,0.0017078
2,0.24775,0.001893
2.1667,0.27325,0.0015
2.3333,0.28525,0.00263
2.5,0.2975,0.003
2.6667,0.308,0.0024495
2.8333,0.317,0.0018257
3,0.3255,0.0019149
3.1667,0.334,0.0011547
3.3333,0.344,0.0021602
3.5,0.353,0.003559
3.6667,0.3585,0.0023805
3.8333,0.36625,0.0053151
4,0.3735,0.0063509
4.1667,0.38025,0.0078475
4.3333,0.38625,0.010595
4.5,0.392,0.012083
4.6667,0.39875,0.012447
4.8333,0.4055,0.013077
5,0.415,0.020833
5.1667,0.423,0.02609
5.3333,0.43075,0.029125
5.5,0.4395,0.029727
5.6667,0.44825,0.026133
5.8333,0.461,0.028647
6,0.4725,0.027635
6.1667,0.485,0.025456
6.3333,0.49675,0.023627
6.5,0.507,0.024317
6.6667,0.51625,0.024391
6.8333,0.52475,0.024157
7,0.53325,0.023641
7.1667,0.544,0.024249
7.3333,0.5515,0.023728
7.5,0.5615,0.023728
7.6667,0.569,0.023509
7.8333,0.5775,0.023728
8,0.58575,0.024459
8.1667,0.59375,0.024878
8.3333,0.601,0.024671
8.5,0.60875,0.024144
8.6667,0.61675,0.024878
8.8333,0.6245,0.025199
9,0.63225,0.025408
9.1667,0.639,0.025626
9.3333,0.64775,0.025617
9.5,0.65575,0.025617
9.6667,0.66275,0.025941
9.8333,0.66925,0.026043
10,0.67625,0.026043
10.167,0.68275,0.025838
10.333,0.69,0.026583
10.5,0.696,0.026357
10.667,0.703,0.026357
10.833,0.709,0.026671
11,0.71575,0.026887
11.167,0.72175,0.028593
11.333,0.72675,0.028194
11.5,0.73275,0.027873
11.667,0.738,0.027964
11.833,0.7435,0.028827
12,0.749,0.029348
12.167,0.7545,0.029872
12.333,0.759,0.030397
12.5,0.76425,0.030826
12.667,0.77,0.031728
12.833,0.77525,0.031826
13,0.78025,0.032541
13.167,0.78525,0.032541
13.333,0.79,0.033496
13.5,0.795,0.034166
13.667,0.7995,0.03364
13.833,0.80425,0.034568
14,0.809,0.034843
14.167,0.8135,0.035
14.333,0.81775,0.036142
14.5,0.82225,0.036308
14.667,0.8265,0.036051
14.833,0.83025,0.036646
15,0.83425,0.037349
15.167,0.839,0.036914
15.333,0.84375,0.037518
15.5,0.84725,0.036999
15.667,0.85,0.037603
15.833,0.854,0.037603
16,0.85775,0.038913
16.167,0.8615,0.038475
16.333,0.86525,0.039101
16.5,0.86825,0.038767
16.667,0.87175,0.03928
16.833,0.875,0.039724
17,0.87825,0.040169
17.167,0.88125,0.040169
17.333,0.884,0.040108
17.5,0.8865,0.040616
17.667,0.8895,0.041008
17.833,0.892,0.041215
18,0.8955,0.042821
18.167,0.8975,0.042123
18.333,0.90025,0.042382
18.5,0.90325,0.043076
18.667,0.90525,0.043076
18.833,0.90675,0.043577
19,0.909,0.043336
19.167,0.91125,0.043076
19.333,0.912,0.043336
19.5,0.91375,0.043577
19.667,0.91525,0.044079
19.833,0.91625,0.044079
20,0.9205,0.042728
20.167,0.922,0.042324
20.333,0.92275,0.042617
20.5,0.92425,0.042883
20.667,0.92625,0.042937
20.833,0.93,0.041913
21,0.9315,0.041901
21.167,0.93225,0.042578
21.333,0.9335,0.043378
21.5,0.93425,0.042929
21.667,0.9355,0.043378
21.833,0.937,0.044774
22,0.9365,0.04474
22.167,0.9375,0.045096
22.333,0.938,0.044996
22.5,0.9385,0.046033
22.667,0.9385,0.046408
22.833,0.93775,0.047626
23,0.94025,0.045177
23.167,0.9395,0.045207
23.333,0.93975,0.045243
23.5,0.9405,0.04617
23.667,0.9395,0.045391
23.833,0.94025,0.045331
