t,OD600,ste
0,0.093,0.0022804
0.16667,0.093,0.0022804
0.33333,0.093667,0.0021602
0.5,0.093833,0.0019408
0.66667,0.094667,0.0020656
0.83333,0.095333,0.0019664
1,0.096833,0.0024833
1.1667,0.0985,0.002881
1.3333,0.101,0.0030984
1.5,0.10433,0.0038297
1.6667,0.109,0.005099
1.8333,0.11517,0.0067651
2,0.1235,0.0088938
2.1667,0.1325,0.0093541
2.3333,0.1425,0.0099348
2.5,0.15433,0.011827
2.6667,0.16783,0.014049
2.8333,0.184,0.016541
3,0.2025,0.018577
3.1667,0.22233,0.020334
3.3333,0.244,0.021863
3.5,0.26167,0.018085
3.6667,0.27683,0.01402
3.8333,0.28617,0.01379
4,0.29383,0.015211
4.1667,0.30167,0.017061
4.3333,0.31083,0.019944
4.5,0.31917,0.022329
4.6667,0.3275,0.026312
4.8333,0.33617,0.030222
5,0.34517,0.032933
5.1667,0.35367,0.038344
5.3333,0.363,0.039719
5.5,0.37067,0.041625
5.6667,0.37683,0.044292
5.8333,0.38433,0.044881
6,0.39117,0.044575
6.1667,0.39767,0.045236
6.3333,0.40433,0.045005
6.5,0.40967,0.043912
6.6667,0.416,0.043923
6.8333,0.42317,0.043783
7,0.43,0.044869
7.1667,0.437,0.045821
7.3333,0.446,0.047104
7.5,0.45367,0.047974
7.6667,0.4635,0.047357
7.8333,0.4745,0.04774
8,0.48733,0.046979
8.1667,0.50133,0.0428
8.3333,0.5145,0.039723
8.5,0.52383,0.036279
8.6667,0.53167,0.034875
8.8333,0.53767,0.032439
9,0.54483,0.031708
9.1667,0.54967,0.031348
9.3333,0.55367,0.03054
9.5,0.559,0.029203
9.6667,0.56283,0.02893
9.8333,0.56667,0.029844
10,0.571,0.029107
10.167,0.57633,0.029931
10.333,0.579,0.030226
10.5,0.583,0.03047
10.667,0.588,0.031286
10.833,0.59133,0.031033
11,0.59583,0.031492
11.167,0.6005,0.032092
11.333,0.606,0.032613
11.5,0.6085,0.03302
11.667,0.613,0.033299
11.833,0.617,0.03319
12,0.62233,0.033212
12.167,0.62767,0.03181
12.333,0.63083,0.032529
12.5,0.63717,0.034948
12.667,0.64233,0.033862
12.833,0.64667,0.032476
13,0.652,0.033196
13.167,0.65767,0.037141
13.333,0.66,0.033214
13.5,0.66633,0.034915
13.667,0.6705,0.034887
13.833,0.67617,0.036196
14,0.68317,0.037754
14.167,0.68833,0.037745
14.333,0.69267,0.038103
14.5,0.7015,0.045192
14.667,0.70333,0.039439
14.833,0.70817,0.041605
15,0.71083,0.039504
15.167,0.71883,0.045499
15.333,0.721,0.043304
15.5,0.72933,0.051368
15.667,0.73133,0.047098
15.833,0.736,0.049493
16,0.7375,0.046164
16.167,0.74917,0.060011
16.333,0.74883,0.050661
16.5,0.75317,0.05235
16.667,0.76517,0.068602
16.833,0.759,0.051946
17,0.77233,0.070119
17.167,0.7725,0.061999
17.333,0.78117,0.073396
17.5,0.778,0.060959
17.667,0.78733,0.071868
17.833,0.781,0.052322
18,0.79333,0.06838
18.167,0.7895,0.057015
18.333,0.80233,0.075341
18.5,0.79767,0.06135
18.667,0.81117,0.080263
18.833,0.81433,0.079847
19,0.81517,0.075215
19.167,0.808,0.055581
19.333,0.80867,0.050579
19.5,0.8045,0.041094
19.667,0.8105,0.044514
19.833,0.8205,0.054202
20,0.83733,0.082367
20.167,0.84083,0.080291
20.333,0.84217,0.080268
20.5,0.84617,0.080383
20.667,0.85033,0.080007
20.833,0.85267,0.079932
21,0.85583,0.080128
21.167,0.8605,0.080029
21.333,0.86283,0.079951
21.5,0.8655,0.079706
21.667,0.86867,0.079874
21.833,0.8715,0.079505
22,0.8735,0.079362
22.167,0.87583,0.079565
22.333,0.8785,0.078882
22.5,0.88117,0.078349
22.667,0.8835,0.078574
22.833,0.886,0.078133
23,0.8885,0.077529
23.167,0.88933,0.07733
23.333,0.89133,0.076896
23.5,0.89183,0.077752
23.667,0.89567,0.077747
23.833,0.8975,0.077725
